date_time,file,committer_name
Mon Jul 28 18:35:34 2014,LoginWindow.html,Aidan Redpath
Mon Jul 28 18:35:34 2014,LoginWindow.js,Aidan Redpath
Mon Jul 28 18:35:34 2014,landing.css,Aidan Redpath
Mon Jul 28 18:35:34 2014,manageOpenids.js,Aidan Redpath
Wed Aug  6 14:54:27 2014,LoginWindow.html,Aidan Redpath
Wed Aug  6 14:54:27 2014,LoginWindow.js,Aidan Redpath
Wed Aug  6 14:54:27 2014,landing.css,Aidan Redpath
Thu Aug  7 20:23:36 2014,LoginWindow.html,Aidan Redpath
Thu Aug  7 20:23:36 2014,LoginWindow.js,Aidan Redpath
Thu Aug  7 20:23:36 2014,landing.css,Aidan Redpath
Thu Aug  7 20:23:36 2014,manageOpenids.css,Aidan Redpath
Thu Aug  7 20:23:36 2014,manageOpenids.js,Aidan Redpath
