date_time,file,committer_name
Wed Sep 16 17:26:17 2015,bootstrap.js,Silenio Quarti
Wed Sep 16 21:31:59 2015,PluginList.js,Silenio Quarti
Thu Sep 17 18:10:40 2015,embeddedFileImpl.js,Silenio Quarti
Thu Sep 17 18:10:40 2015,editorView.js,Silenio Quarti
Thu Sep 17 18:13:10 2015,editorView.js,Silenio Quarti
Tue Sep 22 16:20:25 2015,plugin.js,Silenio Quarti
Tue Sep 22 16:20:25 2015,pluginregistry.js,Silenio Quarti
Tue Sep 22 16:54:26 2015,bootstrap.js,Silenio Quarti
Tue Sep 22 16:54:26 2015,pluginregistry.js,Silenio Quarti
Tue Sep 22 19:00:59 2015,compare.css,Silenio Quarti
Tue Sep 22 19:00:59 2015,compareView.css,Silenio Quarti
Tue Sep 22 19:00:59 2015,compareView.js,Silenio Quarti
Wed Sep 23 20:17:22 2015,editorSetup.js,Silenio Quarti
Thu Sep 24 17:19:22 2015,bootstrap.js,Silenio Quarti
Thu Sep 24 17:19:22 2015,pluginregistry.js,Silenio Quarti
Thu Sep 24 17:19:22 2015,splash.js,Silenio Quarti
Thu Sep 24 17:19:22 2015,git-repository.html,Silenio Quarti
Thu Sep 24 17:19:22 2015,layout_common.css,Silenio Quarti
Thu Sep 24 17:19:22 2015,edit.html,Silenio Quarti
Thu Sep 24 17:19:22 2015,globalCommands.js,Silenio Quarti
Thu Sep 24 17:19:22 2015,settings.html,Silenio Quarti
Thu Sep 24 20:08:54 2015,splash.js,Silenio Quarti
Thu Sep 24 20:08:54 2015,layout_common.css,Silenio Quarti
Thu Sep 24 22:06:00 2015,splash.js,Silenio Quarti
Thu Sep 24 22:06:00 2015,git-repository.html,Silenio Quarti
Thu Sep 24 22:06:00 2015,layout_common.css,Silenio Quarti
Thu Sep 24 22:06:00 2015,edit.html,Silenio Quarti
Thu Sep 24 22:06:00 2015,settings.html,Silenio Quarti
Fri Sep 25 14:15:19 2015,splash.js,Silenio Quarti
Fri Sep 25 14:15:19 2015,layout_common.css,Silenio Quarti
Tue Sep 29 16:12:15 2015,splash.js,Silenio Quarti
Tue Sep 29 16:12:15 2015,layout_common.css,Silenio Quarti
Tue Sep 29 17:53:40 2015,splash.js,Silenio Quarti
Tue Sep 29 19:06:52 2015,bootstrap.js,Silenio Quarti
Tue Sep 29 19:06:52 2015,splash.js,Silenio Quarti
Wed Sep 30  0:18:12 2015,splash.js,Silenio Quarti
Wed Sep 30  1:52:30 2015,metrics.js,Silenio Quarti
Wed Sep 30 15:36:20 2015,metrics.js,Silenio Quarti
Wed Sep 30 15:51:45 2015,splash.js,Silenio Quarti
Wed Sep 30 16:51:59 2015,splash.js,Silenio Quarti
Wed Sep 30 16:51:59 2015,git-repository.html,Silenio Quarti
Wed Sep 30 16:51:59 2015,messages.js,Silenio Quarti
Wed Sep 30 16:51:59 2015,settings.html,Silenio Quarti
Wed Sep 30 21:19:15 2015,splash.js,Silenio Quarti
Wed Sep 30 21:19:15 2015,status.js,Silenio Quarti
Thu Oct  1 20:30:14 2015,gitRepoList.js,Silenio Quarti
Thu Oct  1 22:25:38 2015,edit2.html,Silenio Quarti
Thu Oct  1 22:25:38 2015,globalCommands.js,Silenio Quarti
Fri Oct  2  3:43:59 2015,orion.build.js,Silenio Quarti
Fri Oct  2 18:34:51 2015,layout_common.css,Silenio Quarti
Fri Oct  2 18:34:51 2015,banner.js,Silenio Quarti
Fri Oct  2 18:34:51 2015,edit2.html,Silenio Quarti
Fri Oct  2 18:34:51 2015,globalCommands.js,Silenio Quarti
Fri Oct  2 20:08:19 2015,splash.js,Silenio Quarti
Fri Oct  2 20:08:19 2015,banner.js,Silenio Quarti
Fri Oct  2 20:48:59 2015,splash.js,Silenio Quarti
Fri Oct  2 20:48:59 2015,layout_common.css,Silenio Quarti
Fri Oct  2 20:48:59 2015,banner.js,Silenio Quarti
Fri Oct  2 20:48:59 2015,edit2.html,Silenio Quarti
Mon Oct  5 16:44:16 2015,layout_common.css,Silenio Quarti
Mon Oct  5 16:44:16 2015,banner.html,Silenio Quarti
Mon Oct  5 16:44:16 2015,banner.js,Silenio Quarti
Mon Oct  5 16:44:16 2015,globalCommands.js,Silenio Quarti
Mon Oct  5 16:44:16 2015,splash.js,Silenio Quarti
Mon Oct  5 19:52:41 2015,edit2.html,Silenio Quarti
Mon Oct  5 19:52:41 2015,edit2.js,Silenio Quarti
Tue Oct  6 20:25:12 2015,editorPreferences.js,Silenio Quarti
Tue Oct  6 20:25:12 2015,editorView.js,Silenio Quarti
Tue Oct  6 20:25:12 2015,inputManager.js,Silenio Quarti
Tue Oct  6 20:25:12 2015,messages.js,Silenio Quarti
Tue Oct  6 20:25:12 2015,EditorSettings.js,Silenio Quarti
Thu Oct  8 14:00:12 2015,require-config.js,Silenio Quarti
Thu Oct  8 18:44:59 2015,gitRepoList.js,Silenio Quarti
Thu Oct  8 21:38:24 2015,splash.js,Silenio Quarti
Thu Oct  8 22:34:33 2015,gitRepoList.js,Silenio Quarti
Fri Oct  9 15:40:16 2015,inputManager.js,Silenio Quarti
