date_time,file,committer_name
Mon Jan 11 20:48:24 2016,explorerNavHandler.js,libing wang
Mon Jan 11 20:48:24 2016,fileDetailRenderer.js,libing wang
Mon Jan 11 20:48:24 2016,inlineSearchResultExplorer.js,libing wang
Mon Jan 11 20:48:24 2016,InlineSearchPane.js,libing wang
Mon Jan 11 20:48:24 2016,searchModel.js,libing wang
Mon Jan 11 20:48:24 2016,searchUtils.js,libing wang
Mon Jan 11 20:48:24 2016,sidebar.js,libing wang
Mon Jan 11 21:28:02 2016,searchModel.js,libing wang
Mon Jan 11 22:39:34 2016,searchModel.js,libing wang
Tue Jan 12 17:56:25 2016,InlineSearchPane.js,libing wang
Tue Jan 12 17:56:25 2016,searchModel.js,libing wang
Fri Jan 29 16:33:00 2016,common-nav.js,libing wang
Wed Feb  3 21:03:05 2016,i18n.js,libing wang
Wed Feb 10 16:34:53 2016,status.js,libing wang
