date_time,file,committer_name
Thu Aug 11 13:49:29 2016,commandRegistry.js,Moshe Wajnberg
Thu Aug 11 13:49:29 2016,fileCommands.js,Moshe Wajnberg
Thu Aug 11 13:49:29 2016,inlineSearchResultExplorer.js,Moshe Wajnberg
Thu Aug 11 13:49:29 2016,InlineSearchPane.js,Moshe Wajnberg
Thu Aug 11 13:49:29 2016,textSearcher.js,Moshe Wajnberg
Thu Aug 11 13:49:29 2016,uiUtils.js,Moshe Wajnberg
Thu Aug 11 13:49:29 2016,OpenResourceDialog.js,Moshe Wajnberg
Thu Aug 11 13:49:29 2016,ComboTextInput.js,Moshe Wajnberg
Thu Sep  1 14:35:15 2016,bidiUtils.js,Moshe Wajnberg
Thu Sep  1 14:35:15 2016,textView.js,Moshe Wajnberg
