date_time,file,committer_name
Sat Apr 11  1:13:33 2009,.classpath,Tim Diekman
Sat Apr 11  1:13:33 2009,.project,Tim Diekman
Sat Apr 11  1:13:33 2009,bnd.bnd,Tim Diekman
Sat Apr 11  1:13:33 2009,build.xml,Tim Diekman
Sat Apr 11  1:13:33 2009,DistributionTestCase.java,Tim Diekman
Sat Apr 11  1:13:33 2009,DistributedService.java,Tim Diekman
Sat Apr 11  1:13:33 2009,DistributedServiceImpl.java,Tim Diekman
Sat Apr 11  1:13:33 2009,DoNotPublishInterface.java,Tim Diekman
Thu Apr 23 22:48:20 2009,DistributionConstants.java,Tim Diekman
Fri Apr 24 20:11:07 2009,DiscoveryTestCase.java,Tim Diekman
Mon Apr 27 20:02:30 2009,DiscoveryTestCase.java,Tim Diekman
Mon Apr 27 20:02:30 2009,DiscoveredServiceTrackerImpl.java,Tim Diekman
Tue Apr 28 21:23:55 2009,DistributionTestCase.java,Tim Diekman
Tue Apr 28 21:23:55 2009,DistributedService.java,Tim Diekman
