date_time,file,committer_name
Thu Jan 30 18:09:03 2020,ActionTest.java,Alexander Kurtakov
Thu Jan 30 18:09:03 2020,BundlesActionTest.java,Alexander Kurtakov
Thu Jan 30 18:09:03 2020,JREActionTest.java,Alexander Kurtakov
Thu Jan 30 18:09:03 2020,ProductActionCapturingTest.java,Alexander Kurtakov
Thu Jan 30 18:09:03 2020,ProductActionTest.java,Alexander Kurtakov
Thu Jan 30 18:09:03 2020,ProductActionTestMac.java,Alexander Kurtakov
Thu Jan 30 18:09:03 2020,ProductActionWithJRELocationTest.java,Alexander Kurtakov
Thu Jan 30 18:09:03 2020,ProductContentTypeTest.java,Alexander Kurtakov
Thu Jan 30 18:09:03 2020,ProductFileTest.java,Alexander Kurtakov
Thu Jan 30 19:03:36 2020,CompositeArtifactRepositoryTest.java,Alexander Kurtakov
Thu Jan 30 19:03:36 2020,DirectorApplicationTest.java,Alexander Kurtakov
Thu Jan 30 19:03:36 2020,SiteIndexFileTest.java,Alexander Kurtakov
Thu Jan 30 19:03:36 2020,MirrorApplicationTest.java,Alexander Kurtakov
Thu Jan 30 19:03:36 2020,ChecksumGenerationTest.java,Alexander Kurtakov
Thu Jan 30 19:03:36 2020,RepositoryExtensionPointTest.java,Alexander Kurtakov
Mon Feb  3 12:38:02 2020,ConfigApplier.java,Alexander Kurtakov
Mon Feb  3 13:41:28 2020,MANIFEST.MF,Alexander Kurtakov
Mon Feb  3 13:41:28 2020,EquinoxManipulatorImpl.java,Alexander Kurtakov
Mon Feb  3 13:41:28 2020,MANIFEST.MF,Alexander Kurtakov
Mon Feb  3 13:41:28 2020,ConfigApplier.java,Alexander Kurtakov
Mon Feb  3 14:49:12 2020,BrandingIron.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,MANIFEST.MF,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,pom.xml,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,AbstractFwkAdminTest.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,Bug196525.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,Bug258370.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,CleanupTest.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,FrameworkExtensionTest.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,FwkAdminAndSimpleConfiguratorTest.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,LauncherConfigLocationTest.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,LauncherDataTest.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,MacOSLikeSetup.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,ManipulatorTests.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,NoConfigurationValueInEclipseIni.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,NoRenamingLauncherIni.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,OSGiVersionChange.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,ParserUtilsTest.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,ReaderTest1.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,ReaderTest2.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,ReaderTest3.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,ReaderTest4.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,ReaderTest5.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,ReaderTestBug267850.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,ReaderTestBug285935.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,RelativePathTest.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,RemovingABundle.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,RemovingAllBundles.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,RenamingLauncherIni.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,SharedConfigurationTest.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,SimpleConfiguratorComingAndGoing.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,SimpleConfiguratorTest.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,TestEclipseDataArea.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,TestRunningInstance.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,TestVMArg.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,UtilsTest.java,Alexander Kurtakov
Mon Feb 10 14:08:32 2020,AutomatedTests.java,Alexander Kurtakov
Mon Feb 10 15:28:17 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 15:28:17 2020,AutomatedTests.java,Alexander Kurtakov
Mon Feb 10 15:28:17 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,ManualTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllExplanation.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllMetaReqTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllRequestFlexerTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 17:47:14 2020,AllTests.java,Alexander Kurtakov
Mon Feb 10 20:19:09 2020,ZipVerifierProcessorTest.java,Alexander Kurtakov
Mon Feb 10 20:19:09 2020,FoldersRepositoryTest.java,Alexander Kurtakov
Mon Feb 10 20:19:09 2020,JarURLArtifactRepositoryTest.java,Alexander Kurtakov
Mon Feb 10 20:19:09 2020,MirrorSelectorTest.java,Alexander Kurtakov
