date_time,file,committer_name
Tue Dec 30 15:58:20 2008,ApplicablePatchQuery.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,IUTransformationHelper.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,NewDependencyExpander.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,Picker.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,Projector.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,QueryableArray.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,Recommendation.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,RecommendationDescriptor.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,RequirementBasedFilter.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,SimplePlanner.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,Slicer.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ResolutionHelper.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,Transformer.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,UnsatisfiedCapability.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ActionManager.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,DownloadManager.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,InstructionParser.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ProfileParser.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ProfileXMLConstants.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,SimpleProfileRegistry.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,TouchpointManager.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,InstallableUnitPhase.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,CheckTrust.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,Collect.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,Sizing.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ProductQuery.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,Generator.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,MetadataGeneratorHelper.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,LocalMetadataRepository.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,MetadataRepositoryIO.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,MetadataParser.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,MetadataWriter.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,XMLConstants.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,AbstractMetadataRepository.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ArtifactKey.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,InstallableUnit.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,InstallableUnitFragment.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,InstallableUnitPatch.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ResolvedInstallableUnit.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,UpdateDescriptor.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,Copyright.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ICopyright.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,IInstallableUnit.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,IInstallableUnitFragment.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,IInstallableUnitPatch.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ILicense.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,IProvidedCapability.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,IRequiredCapability.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,IRequirementChange.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ITouchpointData.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ITouchpointInstruction.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ITouchpointType.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,License.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,MetadataFactory.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ProvidedCapability.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,RequiredCapability.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,RequirementChange.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,TouchpointData.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,TouchpointInstruction.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,TouchpointType.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,CapabilityQuery.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,InstallableUnitQuery.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,BrandingIron.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,AbstractAdvice.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,AbstractPublisherAction.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,IPublisherInfo.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,PublisherInfo.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ICapabilityAdvice.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,IVersionAdvice.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,JREAction.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,RootFilesAction.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,RootIUAction.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,VersionAdvice.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,AdviceFileAdvice.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ApplicationLauncherAction.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,BundleShapeAdvice.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,BundlesAction.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ConfigCUsAction.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,EclipseInstallAction.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,EquinoxExecutableAction.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,EquinoxLauncherCUAction.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,FeaturesAction.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ITouchpointAdvice.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,InstallPublisherApplication.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,ProductAction.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,PublisherHelper.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,PublisherTask.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,AbstractProvisioningUITest.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,AnyRequiredCapabilityTest.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,AvailableIUCollectorTest.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,CategoryElementCollectorTest.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,IUPropertyUtilsTest.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,LatestIUVersionElementCollectorTest.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,QueryableMetadataRepositoryManagerTest.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,AbstractProvisioningTest.java,Jeff McAffer
Tue Dec 30 15:58:20 2008,TestMetadataRepository.java,Jeff McAffer
