date_time,file,committer_name
Fri May  2 13:15:06 2014,ActionListener.java,Al S-M
Fri May  2 13:15:06 2014,ActivityConstants.java,Al S-M
Fri May  2 13:15:06 2014,Advanced.java,Al S-M
Fri May  2 13:15:06 2014,ClientConnections.java,Al S-M
Fri May  2 13:15:06 2014,Connection.java,Al S-M
Fri May  2 13:15:06 2014,ConnectionDetails.java,Al S-M
Fri May  2 13:15:06 2014,Connections.java,Al S-M
Fri May  2 13:15:06 2014,HistoryFragment.java,Al S-M
Fri May  2 13:15:06 2014,LastWill.java,Al S-M
Fri May  2 13:15:06 2014,Listener.java,Al S-M
Fri May  2 13:15:06 2014,MqttCallbackHandler.java,Al S-M
Fri May  2 13:15:06 2014,NewConnection.java,Al S-M
Fri May  2 13:15:06 2014,Notify.java,Al S-M
Fri May  2 13:15:06 2014,Persistence.java,Al S-M
Fri May  2 13:15:06 2014,PersistenceException.java,Al S-M
Fri May  2 13:15:06 2014,PublishFragment.java,Al S-M
Fri May  2 13:15:06 2014,SubscribeFragment.java,Al S-M
Fri May  2 13:15:06 2014,AndroidServiceTest.java,Al S-M
Fri May  2 13:15:06 2014,AndroidServiceWithActionListenerTest.java,Al S-M
Fri May  2 13:15:06 2014,MqttV3Receiver.java,Al S-M
Fri May  2 13:15:06 2014,TestCaseNotifier.java,Al S-M
Fri May  2 13:15:06 2014,TestProperties.java,Al S-M
Fri May  2 13:15:06 2014,AlarmPingSender.java,Al S-M
Fri May  2 13:15:06 2014,DatabaseMessageStore.java,Al S-M
Fri May  2 13:15:06 2014,MessageStore.java,Al S-M
Fri May  2 13:15:06 2014,MqttAndroidClient.java,Al S-M
Fri May  2 13:15:06 2014,MqttConnection.java,Al S-M
Fri May  2 13:15:06 2014,MqttDeliveryTokenAndroid.java,Al S-M
Fri May  2 13:15:06 2014,MqttService.java,Al S-M
Fri May  2 13:15:06 2014,MqttServiceBinder.java,Al S-M
Fri May  2 13:15:06 2014,MqttServiceConstants.java,Al S-M
Fri May  2 13:15:06 2014,MqttTokenAndroid.java,Al S-M
Fri May  2 13:15:06 2014,MqttTraceHandler.java,Al S-M
Fri May  2 13:15:06 2014,ParcelableMqttMessage.java,Al S-M
Fri May  2 13:15:06 2014,Status.java,Al S-M
Fri May  2 13:15:06 2014,pom.xml,Al S-M
Fri May  2 13:15:06 2014,build.xml,Al S-M
Fri May  2 13:15:06 2014,LogMessageExtractor.java,Al S-M
Fri May  2 13:15:06 2014,pom.xml,Al S-M
Fri May  2 13:15:06 2014,BasicSSLTest.java,Al S-M
Fri May  2 13:15:06 2014,BasicTest.java,Al S-M
Fri May  2 13:15:06 2014,ConformantTest.java,Al S-M
Fri May  2 13:15:06 2014,LiveTakeOverTest.java,Al S-M
Fri May  2 13:15:06 2014,ModelTestCase.java,Al S-M
Fri May  2 13:15:06 2014,SendReceiveAsyncTest.java,Al S-M
Fri May  2 13:15:06 2014,SendReceiveTest.java,Al S-M
Fri May  2 13:15:06 2014,MqttAsyncClientPaho.java,Al S-M
Fri May  2 13:15:06 2014,MqttClientFactoryPaho.java,Al S-M
Fri May  2 13:15:06 2014,MqttClientPaho.java,Al S-M
Fri May  2 13:15:06 2014,ConsoleHandler.java,Al S-M
Fri May  2 13:15:06 2014,DetailFormatter.java,Al S-M
Fri May  2 13:15:06 2014,HumanFormatter.java,Al S-M
Fri May  2 13:15:06 2014,LoggerDumper.java,Al S-M
Fri May  2 13:15:06 2014,LoggerNode.java,Al S-M
Fri May  2 13:15:06 2014,LoggingUtilities.java,Al S-M
Fri May  2 13:15:06 2014,ObjectFormatter.java,Al S-M
Fri May  2 13:15:06 2014,TraceFormatter.java,Al S-M
Fri May  2 13:15:06 2014,TestProperties.java,Al S-M
Fri May  2 13:15:06 2014,MqttV3Receiver.java,Al S-M
Fri May  2 13:15:06 2014,StringUtilities.java,Al S-M
Fri May  2 13:15:06 2014,Utility.java,Al S-M
Fri May  2 13:15:06 2014,pom.xml,Al S-M
Fri May  2 13:15:06 2014,ClientComms.java,Al S-M
Fri May  2 13:15:06 2014,MqttAsyncClient.java,Al S-M
Fri May  2 13:15:06 2014,MqttCallback.java,Al S-M
Fri May  2 13:15:06 2014,MqttClient.java,Al S-M
Fri May  2 13:15:06 2014,MqttClientPersistence.java,Al S-M
Fri May  2 13:15:06 2014,MqttConnectOptions.java,Al S-M
Fri May  2 13:15:06 2014,MqttDeliveryToken.java,Al S-M
Fri May  2 13:15:06 2014,MqttException.java,Al S-M
Fri May  2 13:15:06 2014,MqttMessage.java,Al S-M
Fri May  2 13:15:06 2014,MqttPersistable.java,Al S-M
Fri May  2 13:15:06 2014,MqttPersistenceException.java,Al S-M
Fri May  2 13:15:06 2014,MqttPingSender.java,Al S-M
Fri May  2 13:15:06 2014,MqttSecurityException.java,Al S-M
Fri May  2 13:15:06 2014,MqttToken.java,Al S-M
Fri May  2 13:15:06 2014,MqttTopic.java,Al S-M
Fri May  2 13:15:06 2014,TimerPingSender.java,Al S-M
Fri May  2 13:15:06 2014,ClientDefaults.java,Al S-M
Fri May  2 13:15:06 2014,ClientState.java,Al S-M
Fri May  2 13:15:06 2014,CommsCallback.java,Al S-M
Fri May  2 13:15:06 2014,CommsReceiver.java,Al S-M
