date_time,file,committer_name
Tue Aug  5  9:48:13 2014,MethodReturnTypeEvaluator.java,Michal Niewrzal
Tue Aug  5  9:48:13 2014,phpDocMethod01.pdtt,Michal Niewrzal
Tue Aug  5  9:48:13 2014,phpDocMethod02.pdtt,Michal Niewrzal
Wed Aug  6 11:10:19 2014,PHPDocTagContext.java,Michal Niewrzal
Wed Aug  6 11:10:19 2014,phpDocTag01.pdtt,Michal Niewrzal
Wed Aug  6 11:10:19 2014,phpDocTag02.pdtt,Michal Niewrzal
Thu Aug  7 15:40:37 2014,PHPConditionalBreakpoint.java,Michal Niewrzal
Thu Aug  7 15:40:37 2014,DefaultPHPBreakpointProvider.java,Michal Niewrzal
Thu Aug  7 15:40:37 2014,IPHPBreakpointProvider.java,Michal Niewrzal
Thu Aug  7 15:40:37 2014,LineBreakpointTypeChange.java,Michal Niewrzal
Thu Aug  7 22:49:17 2014,DefaultIndentationStrategy.java,Michal Niewrzal
Thu Aug  7 22:49:17 2014,ParenthesesCloseIndentationStrategy.java,Michal Niewrzal
Thu Aug  7 22:49:17 2014,IndentLineAutoEditStrategy.java,Michal Niewrzal
Thu Aug  7 22:49:17 2014,PairParenthesesAutoEditStrategy.java,Michal Niewrzal
Thu Aug  7 22:49:17 2014,ParenthesesCloseAutoEditStrategy.java,Michal Niewrzal
Thu Aug  7 22:49:17 2014,arrayStatements12.pdtt,Michal Niewrzal
Thu Aug  7 22:49:17 2014,autoInsertClosingBraces.pdtt,Michal Niewrzal
Thu Aug  7 22:49:17 2014,arrayStatements12.pdtt,Michal Niewrzal
Thu Aug  7 22:49:17 2014,arrayStatements13.pdtt,Michal Niewrzal
Thu Aug  7 22:49:17 2014,arrayStatements14.pdtt,Michal Niewrzal
Thu Aug  7 22:49:17 2014,arrayStatements15.pdtt,Michal Niewrzal
Thu Aug  7 22:49:17 2014,arrayStatements5.pdtt,Michal Niewrzal
Thu Aug  7 22:49:17 2014,arrayStatements6.pdtt,Michal Niewrzal
Thu Aug  7 22:49:17 2014,arrayStatements7.pdtt,Michal Niewrzal
Thu Aug  7 22:49:17 2014,arrayStatements8.pdtt,Michal Niewrzal
Sat Aug  9  9:19:11 2014,PHPDocumentationContentAccess.java,Michal Niewrzal
Wed Aug 13 12:36:58 2014,CaseDefaultIndentationStrategy.java,Michal Niewrzal
Wed Aug 13 12:36:58 2014,DefaultIndentationStrategy.java,Michal Niewrzal
Wed Aug 13 12:36:58 2014,IndentationBaseDetector.java,Michal Niewrzal
Wed Aug 13 12:36:58 2014,IndentationObject.java,Michal Niewrzal
Wed Aug 13 12:36:58 2014,PhpFormatter.java,Michal Niewrzal
Wed Aug 13 12:36:58 2014,PHPCodeFormatterCommonPreferences.java,Michal Niewrzal
Wed Aug 13 12:36:58 2014,PHPAutoIndentStrategy.java,Michal Niewrzal
Sun Aug 17 21:10:05 2014,IncludeHyperlinkDetector.java,Michal Niewrzal
Sun Aug 17 21:10:05 2014,IncludeHyperlinkVisitor.java,Michal Niewrzal
Mon Aug 18 10:03:40 2014,PHPDocumentationContentAccess.java,Michal Niewrzal
Thu Aug 28 12:28:39 2014,PHPDocumentationProvider.java,Michal Niewrzal
Thu Aug 28 12:28:39 2014,ParameterGuessingProposal.java,Michal Niewrzal
Thu Aug 28 20:04:15 2014,PHPSearchEngine.java,Michal Niewrzal
Thu Aug 28 20:04:15 2014,IncludeHyperlinkVisitor.java,Michal Niewrzal
Mon Sep  1  8:42:32 2014,PHPSelectionEngine.java,Michal Niewrzal
Mon Sep  1 13:54:22 2014,InternalClassHighlighting.java,Michal Niewrzal
Mon Sep  1 13:54:22 2014,InternalFunctionHighlighting.java,Michal Niewrzal
Mon Sep  1 13:54:22 2014,internal_class.2.pdtt,Michal Niewrzal
Mon Sep  1 13:54:22 2014,internal_function.2.pdtt,Michal Niewrzal
