date_time,file,committer_name
Tue Jun  1 13:35:10 2021,CatalystSerializerEncoder.scala,Eugene Cheipesh
Tue Jun  1 13:35:10 2021,package.scala,Eugene Cheipesh
Tue Jun  1 13:35:10 2021,ProjectedRasterTile.scala,Eugene Cheipesh
Tue Jun  1 13:35:24 2021,CellTypeEncoder.scala,Eugene Cheipesh
Tue Jun  1 13:35:24 2021,StandardSerializers.scala,Eugene Cheipesh
Tue Jun  1 13:35:24 2021,StringBackedEncoder.scala,Eugene Cheipesh
Tue Jun  1 13:35:24 2021,RFDependenciesPlugin.scala,Eugene Cheipesh
Tue Jun  1 13:35:24 2021,setup.py,Eugene Cheipesh
Tue Jun  1 13:35:24 2021,package.scala,Eugene Cheipesh
Tue Jun  1 13:35:24 2021,LocalFunctionsSpec.scala,Eugene Cheipesh
Tue Jun  1 13:35:24 2021,DownloadSupport.scala,Eugene Cheipesh
Tue Jun  1 13:35:24 2021,ResourceCacheSupport.scala,Eugene Cheipesh
Tue Jun  1 13:35:24 2021,DevSpec.scala,Eugene Cheipesh
Tue Jun  1 13:35:24 2021,Person.scala,Eugene Cheipesh
Tue Jun  1 13:35:24 2021,School.scala,Eugene Cheipesh
Wed Jun  9 12:19:19 2021,BoundsUDT.scala,Eugene Cheipesh
Wed Jun  9 12:19:19 2021,CellTypeUDT.scala,Eugene Cheipesh
Wed Jun  9 12:19:19 2021,CrsUDT.scala,Eugene Cheipesh
Wed Jun  9 12:19:19 2021,DimensionsUDT.scala,Eugene Cheipesh
Wed Jun  9 12:19:19 2021,package.scala,Eugene Cheipesh
Wed Jun  9 12:19:19 2021,StandardEncoders.scala,Eugene Cheipesh
Wed Jun  9 12:19:19 2021,TileDataContext.scala,Eugene Cheipesh
Wed Jun  9 12:19:19 2021,PrettyRaster.scala,Eugene Cheipesh
Wed Jun  9 12:19:19 2021,BaseUdtSpec.scala,Eugene Cheipesh
Wed Jun  9 12:19:19 2021,PrettyRasterSpec.scala,Eugene Cheipesh
Wed Jun  9 12:19:19 2021,StandardEncodersSpec.scala,Eugene Cheipesh
Wed Jun  9 12:19:19 2021,DevSpec.scala,Eugene Cheipesh
Wed Jun  9 12:19:19 2021,Person.scala,Eugene Cheipesh
Wed Jun  9 12:19:19 2021,School.scala,Eugene Cheipesh
Mon Jun 14 18:47:59 2021,CrsUDT.scala,Eugene Cheipesh
Mon Jun 14 18:47:59 2021,StandardSerializers.scala,Eugene Cheipesh
Mon Jun 14 18:47:59 2021,ExtractTile.scala,Eugene Cheipesh
Mon Jun 14 18:47:59 2021,Cells.scala,Eugene Cheipesh
Mon Jun 14 18:47:59 2021,package.scala,Eugene Cheipesh
Mon Jun 14 18:47:59 2021,RasterRef.scala,Eugene Cheipesh
Mon Jun 14 18:47:59 2021,ProjectedRasterTile.scala,Eugene Cheipesh
Mon Jun 14 18:47:59 2021,DevSpec.scala,Eugene Cheipesh
Mon Jun 14 18:47:59 2021,LocalFunctionsSpec.scala,Eugene Cheipesh
Mon Jun 14 18:47:59 2021,RasterRefSpec.scala,Eugene Cheipesh
Mon Jun 14 18:47:59 2021,GeoTiffRelation.scala,Eugene Cheipesh
