date_time,file,committer_name
Sat Jun 23 16:02:05 2018,pom.xml,Joseph Walton
Sat Jun 23 16:02:05 2018,pom.xml,Joseph Walton
Sat Jun 23 16:02:05 2018,NotifyingSailConnectionWrapperTest.java,Joseph Walton
Sat Jun 23 16:02:05 2018,pom.xml,Joseph Walton
Sat Jun 23 16:02:05 2018,BloomFilterFederationQueryTest.java,Joseph Walton
Sat Jun 23 16:02:05 2018,FederationNamespacesTest.java,Joseph Walton
Sat Jun 23 16:02:05 2018,pom.xml,Joseph Walton
Sat Jun 23 16:02:05 2018,LuceneSailTupleFunctionTest.java,Joseph Walton
Sat Jun 23 16:02:05 2018,pom.xml,Joseph Walton
Sat Jun 23 16:02:05 2018,pom.xml,Joseph Walton
Sat Jun 23 16:02:05 2018,TestProxyRepository.java,Joseph Walton
Sat Jun 23 16:02:05 2018,TestProxyRepositoryFactory.java,Joseph Walton
Sat Jun 23 16:02:05 2018,pom.xml,Joseph Walton
Sat Jun 23 16:02:05 2018,EvaluationModeTest.java,Joseph Walton
Sat Jun 23 16:02:05 2018,SpifSailTest.java,Joseph Walton
Sat Jun 23 16:56:34 2018,TestRepositoryManagerFederator.java,Joseph Walton
Sat Jun 23 16:56:34 2018,SpinSailTest.java,Joseph Walton
Sat Jun 23 16:56:34 2018,SpinSailWithoutRDFSInferencerTest.java,Joseph Walton
Sun Jun 24 14:28:51 2018,pom.xml,Joseph Walton
Sun Jun 24 14:28:51 2018,ConsoleIOTest.java,Joseph Walton
Sun Jun 24 14:28:51 2018,DropTest.java,Joseph Walton
Sun Jun 24 14:28:51 2018,FederateTest.java,Joseph Walton
Sun Jun 24 14:28:51 2018,pom.xml,Joseph Walton
Sun Jun 24 14:39:11 2018,pom.xml,Joseph Walton
Sun Jun 24 14:39:11 2018,TestCreateServlet.java,Joseph Walton
Sun Jun 24 14:39:11 2018,TestExploreServlet.java,Joseph Walton
Sun Jun 24 14:39:11 2018,TestQueryServlet.java,Joseph Walton
Sun Jun 24 14:39:11 2018,TestPagedQuery.java,Joseph Walton
Sun Jun 24 14:39:11 2018,TestValueDecoder.java,Joseph Walton
