date_time,file,committer_name
Fri Aug 17 21:05:36 2018,AbstractGeoSPARQLTest.java,Bart Hanssens
Fri Aug 17 21:05:36 2018,EhContainsTest.java,Bart Hanssens
Fri Aug 17 21:05:36 2018,SfWithinTest.java,Bart Hanssens
Fri Aug 17 21:05:36 2018,sfwithin_brussels.rq,Bart Hanssens
Fri Aug 17 21:05:36 2018,sfwithin_denver.rq,Bart Hanssens
Sat Aug 18 13:11:41 2018,DistanceTest.java,Bart Hanssens
Sat Aug 18 13:11:41 2018,EhContainsTest.java,Bart Hanssens
Sat Aug 18 13:11:41 2018,SfContainsTest.java,Bart Hanssens
Sat Aug 18 13:11:41 2018,SfWithinTest.java,Bart Hanssens
Sat Aug 18 13:11:41 2018,sfcontains.rq,Bart Hanssens
Thu Aug 23  9:25:13 2018,SimpleLiteral.java,Bart Hanssens
Thu Aug 23  9:25:13 2018,SimpleLiteralTest.java,Bart Hanssens
Thu Aug 23  9:33:29 2018,SimpleLiteral.java,Bart Hanssens
Wed Sep  5 10:55:57 2018,LocalRepositoryManagerTest.java,Bart Hanssens
Wed Sep  5 10:55:57 2018,LocalRepositoryManager.java,Bart Hanssens
