date_time,file,committer_name
Tue May  5  6:03:14 2020,FederationEvalStrategy.java,Andreas Schwarte
Tue May  5  6:03:14 2020,GenericInfoOptimizer.java,Andreas Schwarte
Tue May  5  6:04:39 2020,FedX.java,Andreas Schwarte
Tue May  5  6:04:39 2020,FedXConfig.java,Andreas Schwarte
Tue May  5  6:04:39 2020,DefaultWriteStrategyFactory.java,Andreas Schwarte
Tue May  5  6:04:39 2020,WriteStrategyFactory.java,Andreas Schwarte
Tue May  5  6:04:39 2020,WriteTest.java,Andreas Schwarte
Wed May  6  3:49:20 2020,pom.xml,Andreas Schwarte
Wed May  6  3:49:20 2020,W3CApprovedSPARQL11QueryTest.java,Andreas Schwarte
Wed May  6  3:49:20 2020,FedXSPARQL11QueryComplianceTest.java,Andreas Schwarte
Wed May  6  3:49:20 2020,MemorySPARQL11QueryComplianceTest.java,Andreas Schwarte
Wed May  6  3:49:20 2020,SPARQL11QueryComplianceTest.java,Andreas Schwarte
Wed May  6  3:49:20 2020,pom.xml,Andreas Schwarte
Wed May  6  3:49:20 2020,FedXConnection.java,Andreas Schwarte
Wed May  6  3:49:20 2020,QueryManager.java,Andreas Schwarte
Wed May  6  3:49:20 2020,CheckStatementPattern.java,Andreas Schwarte
Wed May  6  3:49:20 2020,ExclusiveStatement.java,Andreas Schwarte
Wed May  6  3:49:20 2020,FedXStatementPattern.java,Andreas Schwarte
Wed May  6  3:49:20 2020,StatementSourcePattern.java,Andreas Schwarte
Wed May  6  3:49:20 2020,CacheUtils.java,Andreas Schwarte
Wed May  6  3:49:20 2020,SourceSelectionMemoryCache.java,Andreas Schwarte
Wed May  6  3:49:20 2020,FederationEvalStrategy.java,Andreas Schwarte
Wed May  6  3:49:20 2020,SailTripleSource.java,Andreas Schwarte
Wed May  6  3:49:20 2020,SparqlFederationEvalStrategy.java,Andreas Schwarte
Wed May  6  3:49:20 2020,SparqlTripleSource.java,Andreas Schwarte
Wed May  6  3:49:20 2020,TripleSource.java,Andreas Schwarte
Wed May  6  3:49:20 2020,TripleSourceBase.java,Andreas Schwarte
Wed May  6  3:49:20 2020,SourceSelection.java,Andreas Schwarte
Wed May  6  3:49:20 2020,FedXRepositoryConnection.java,Andreas Schwarte
Wed May  6  3:49:20 2020,FedXDataset.java,Andreas Schwarte
Wed May  6  3:49:20 2020,QueryInfo.java,Andreas Schwarte
Wed May  6  3:49:20 2020,SubQuery.java,Andreas Schwarte
Wed May  6  3:49:20 2020,FedXUtil.java,Andreas Schwarte
Wed May  6  3:49:20 2020,QueryStringUtil.java,Andreas Schwarte
Wed May  6  3:49:20 2020,ReadOnlyWriteStrategy.java,Andreas Schwarte
Wed May  6  3:49:20 2020,RepositoryWriteStrategy.java,Andreas Schwarte
Wed May  6  3:49:20 2020,WriteStrategy.java,Andreas Schwarte
Wed May  6  3:49:20 2020,BindTests.java,Andreas Schwarte
Wed May  6  3:49:20 2020,FedXBaseTest.java,Andreas Schwarte
Wed May  6  3:49:20 2020,NamedGraphTests.java,Andreas Schwarte
Wed May  6  3:49:20 2020,data-boundjoin1.trig,Andreas Schwarte
Wed May  6  3:49:20 2020,data-boundjoin2.trig,Andreas Schwarte
Wed May  6  3:49:20 2020,data1.trig,Andreas Schwarte
Wed May  6  3:49:20 2020,data2.trig,Andreas Schwarte
Wed May  6  3:49:20 2020,data3.trig,Andreas Schwarte
Wed May  6  3:49:20 2020,data4.trig,Andreas Schwarte
Wed May  6  8:33:20 2020,ExclusiveStatement.java,Andreas Schwarte
Wed May  6  8:33:20 2020,StatementSourcePattern.java,Andreas Schwarte
Wed May  6  8:33:20 2020,SailTripleSource.java,Andreas Schwarte
Wed May  6  8:33:20 2020,SparqlTripleSource.java,Andreas Schwarte
Wed May  6  8:33:20 2020,TripleSource.java,Andreas Schwarte
Wed May  6  8:33:20 2020,TripleSourceBase.java,Andreas Schwarte
Wed May  6  8:33:20 2020,QueryStringUtil.java,Andreas Schwarte
Wed May  6  8:33:20 2020,NamedGraphTests.java,Andreas Schwarte
Wed May  6  8:33:20 2020,data2.trig,Andreas Schwarte
