date_time,file,committer_name
Sun Apr 19 14:26:31 2020,AbstractSPARQLJSONWriter.java,Erik Godding Boye
Sun Apr 19 14:26:31 2020,SPARQLBooleanJSONWriter.java,Erik Godding Boye
Sun Apr 19 14:26:31 2020,SPARQLResultsJSONWriter.java,Erik Godding Boye
Sun Apr 19 14:26:31 2020,AbstractSPARQLXMLWriter.java,Erik Godding Boye
Sun Apr 19 14:26:31 2020,SPARQLBooleanXMLWriter.java,Erik Godding Boye
Sun Apr 19 14:26:31 2020,SPARQLResultsXMLWriter.java,Erik Godding Boye
Sun Apr 19 14:26:31 2020,BooleanTextWriter.java,Erik Godding Boye
Sun Apr 19 14:26:31 2020,SPARQLResultsCSVWriter.java,Erik Godding Boye
Sun Apr 19 14:26:31 2020,SPARQLResultsTSVWriter.java,Erik Godding Boye
Sun Apr 19 14:26:54 2020,N3Writer.java,Erik Godding Boye
Sun Apr 19 14:26:54 2020,RDFJSONWriter.java,Erik Godding Boye
Sun Apr 19 14:26:54 2020,RDFXMLWriter.java,Erik Godding Boye
Sun Apr 19 14:26:54 2020,TriXWriter.java,Erik Godding Boye
Sun Apr 19 14:26:54 2020,TurtleWriter.java,Erik Godding Boye
Wed May  6 23:50:27 2020,SharedHttpClientSessionManager.java,Erik Godding Boye
