date_time,file,committer_name
Mon Sep 25 16:26:41 2017,scanner.controller.js,Simon Urli
Mon Sep 25 16:26:41 2017,scanner.model.js,Simon Urli
Mon Sep 25 16:26:41 2017,scanner_timechart.js,Simon Urli
Mon Sep 25 16:36:04 2017,scanner_timechart.js,Simon Urli
Mon Sep 25 16:47:38 2017,inspector.controller.js,Simon Urli
Mon Sep 25 16:47:38 2017,inspector.model.js,Simon Urli
Mon Sep 25 16:47:38 2017,inspector.route.js,Simon Urli
Mon Sep 25 16:47:38 2017,statuses_pie.js,Simon Urli
Mon Sep 25 16:49:48 2017,inspector.route.js,Simon Urli
Mon Sep 25 16:51:31 2017,inspector.route.js,Simon Urli
Tue Sep 26  9:29:34 2017,index.html,Simon Urli
Tue Sep 26  9:29:34 2017,scanner_timechart.js,Simon Urli
Tue Sep 26  9:29:34 2017,bower.json,Simon Urli
Tue Sep 26 11:43:44 2017,index.html,Simon Urli
Tue Sep 26 11:43:44 2017,scanner_timechart.js,Simon Urli
Tue Sep 26 13:11:57 2017,inspector.controller.js,Simon Urli
Tue Sep 26 13:11:57 2017,inspector.model.js,Simon Urli
Tue Sep 26 13:11:57 2017,inspector.route.js,Simon Urli
Tue Sep 26 13:11:57 2017,scanner_timechart.js,Simon Urli
Tue Sep 26 13:23:04 2017,scanner_timechart.js,Simon Urli
Tue Sep 26 13:28:50 2017,scanner_timechart.js,Simon Urli
Tue Sep 26 13:32:21 2017,inspector.model.js,Simon Urli
Tue Sep 26 14:25:01 2017,inspector.model.js,Simon Urli
Tue Sep 26 14:25:01 2017,scanner_timechart.js,Simon Urli
Tue Sep 26 14:28:03 2017,scanner_timechart.js,Simon Urli
Tue Sep 26 16:36:13 2017,BuildHelper.java,Simon Urli
Tue Sep 26 16:36:13 2017,BuildHelperTest.java,Simon Urli
Wed Sep 27  8:33:57 2017,BuildHelper.java,Simon Urli
Wed Sep 27  8:33:57 2017,LogParserTest.java,Simon Urli
Wed Sep 27  8:33:57 2017,MavenLogParserTest.java,Simon Urli
Wed Sep 27  8:33:57 2017,CheckIfFutureBuildIdWhereWellComputed.java,Simon Urli
Wed Sep 27  8:33:57 2017,CheckIfIdsHaveABranch.java,Simon Urli
Wed Sep 27  8:33:57 2017,UpdateDataForSpecifyingLastReproduction.java,Simon Urli
Wed Sep 27  8:33:57 2017,ids-with-wrong-patch.txt,Simon Urli
Tue Oct  3 12:10:55 2017,BuildHelper.java,Simon Urli
Tue Oct  3 12:10:55 2017,results-buildtool.csv,Simon Urli
Tue Oct  3 12:10:55 2017,top-projects-and-ratio-pr.js,Simon Urli
Tue Oct  3 12:10:55 2017,ShowBuildToolUsage.java,Simon Urli
Tue Oct  3 12:10:55 2017,complete-list.txt,Simon Urli
Tue Oct  3 12:10:55 2017,list-project-ontravis.txt,Simon Urli
Tue Oct  3 12:27:40 2017,MavenFilterTestOutputHandler.java,Simon Urli
Tue Oct  3 12:27:40 2017,TestMavenFilterTestOutputHandler.java,Simon Urli
Tue Oct  3 12:27:40 2017,log-test-failures.txt,Simon Urli
Tue Oct  3 13:08:38 2017,filtered_project_list.txt,Simon Urli
Tue Oct  3 13:08:38 2017,GetTrendingsFromGithub.java,Simon Urli
Wed Oct  4 13:01:28 2017,TestMavenFilterTestOutputHandler.java,Simon Urli
Wed Oct  4 13:01:28 2017,log-test-druidio.txt,Simon Urli
Wed Oct  4 13:01:28 2017,CleanNopolCollection.java,Simon Urli
Wed Oct  4 13:01:28 2017,ComputeTestFailingStats.java,Simon Urli
Wed Oct  4 13:48:58 2017,SerializerType.java,Simon Urli
Wed Oct  4 13:48:58 2017,Launcher.java,Simon Urli
Wed Oct  4 13:48:58 2017,JobStatus.java,Simon Urli
Wed Oct  4 13:48:58 2017,NPERepair.java,Simon Urli
Wed Oct  4 13:48:58 2017,NPEFixSerializer.java,Simon Urli
Wed Oct  4 14:27:59 2017,MavenHelper.java,Simon Urli
Wed Oct  4 14:46:41 2017,.travis.yml,Simon Urli
Wed Oct  4 14:46:41 2017,SerializerType.java,Simon Urli
Wed Oct  4 14:46:41 2017,PipelineState.java,Simon Urli
Wed Oct  4 14:46:41 2017,pom.xml,Simon Urli
Wed Oct  4 14:46:41 2017,Launcher.java,Simon Urli
Wed Oct  4 14:46:41 2017,JobStatus.java,Simon Urli
Wed Oct  4 14:46:41 2017,ProjectInspector.java,Simon Urli
Wed Oct  4 14:46:41 2017,AstorRepair.java,Simon Urli
Wed Oct  4 14:46:41 2017,AstorSerializer.java,Simon Urli
Wed Oct  4 14:46:41 2017,TestProjectInspector.java,Simon Urli
Wed Oct  4 14:46:41 2017,travis-install.sh,Simon Urli
Thu Oct  5  8:36:27 2017,AstorRepair.java,Simon Urli
Thu Oct  5 13:13:53 2017,AstorRepair.java,Simon Urli
Mon Oct  9 15:07:57 2017,PatchNotifier.java,Simon Urli
Mon Oct  9 15:26:40 2017,PatchNotifier.java,Simon Urli
Tue Oct 10  8:08:04 2017,TestProjectInspector.java,Simon Urli
Tue Oct 10  8:54:00 2017,GitHelper.java,Simon Urli
Tue Oct 10  8:54:00 2017,JobStatus.java,Simon Urli
Tue Oct 10  8:54:00 2017,MavenOutputHandler.java,Simon Urli
Tue Oct 10  8:54:00 2017,AstorRepair.java,Simon Urli
Tue Oct 10  8:54:00 2017,NPERepair.java,Simon Urli
Tue Oct 10  8:54:00 2017,NopolRepair.java,Simon Urli
Tue Oct 10  8:54:00 2017,CheckoutRepository.java,Simon Urli
Wed Oct 11  9:20:07 2017,GitHelper.java,Simon Urli
Thu Oct 12 10:45:38 2017,AstorRepair.java,Simon Urli
Fri Oct 13  8:30:51 2017,AstorRepair.java,Simon Urli
Fri Oct 13 11:24:30 2017,AstorRepair.java,Simon Urli
Fri Oct 13 11:47:13 2017,AbstractStep.java,Simon Urli
Fri Oct 13 11:47:13 2017,CommitPatch.java,Simon Urli
Fri Oct 13 11:47:13 2017,InitRepoToPush.java,Simon Urli
Mon Oct 16  8:11:59 2017,AstorRepair.java,Simon Urli
Mon Oct 16  9:11:40 2017,AstorRepair.java,Simon Urli
