date_time,file,committer_name
Thu Feb  4 13:25:51 2021,WidgetsClientConfigProperties.java,Claudio Guglielmo
Thu Feb  4 13:25:51 2021,BookPreface.adoc,Claudio Guglielmo
Thu Feb  4 13:25:51 2021,CreateCustomWidget.adoc,Claudio Guglielmo
Thu Feb  4 13:25:51 2021,SingleWar.adoc,Claudio Guglielmo
Thu Feb  4 13:25:51 2021,_footer-text.adoc,Claudio Guglielmo
Thu Feb  4 13:25:51 2021,_footer.adoc,Claudio Guglielmo
Thu Feb  4 13:25:51 2021,_OneDayTutorial.adoc,Claudio Guglielmo
Thu Feb  4 13:25:51 2021,_TutorialIntro.adoc,Claudio Guglielmo
Thu Feb  4 13:25:51 2021,pom.xml,Claudio Guglielmo
Thu Feb  4 13:25:51 2021,scout_tutorial.adoc,Claudio Guglielmo
Thu Feb  4 13:25:51 2021,technical-guide.adoc,Claudio Guglielmo
Thu Feb  4 13:29:20 2021,WidgetsClientConfigProperties.java,Claudio Guglielmo
Thu Feb  4 13:29:20 2021,BookPreface.adoc,Claudio Guglielmo
Thu Feb  4 13:29:20 2021,CreateCustomWidget.adoc,Claudio Guglielmo
Thu Feb  4 13:29:20 2021,SingleWar.adoc,Claudio Guglielmo
Thu Feb  4 13:29:20 2021,_footer-text.adoc,Claudio Guglielmo
Thu Feb  4 13:29:20 2021,_footer.adoc,Claudio Guglielmo
Thu Feb  4 13:29:20 2021,ReleaseNotes_7_0.adoc,Claudio Guglielmo
Thu Feb  4 13:29:20 2021,_OneDayTutorial.adoc,Claudio Guglielmo
Thu Feb  4 13:29:20 2021,_TutorialIntro.adoc,Claudio Guglielmo
Thu Feb  4 13:29:20 2021,pom.xml,Claudio Guglielmo
Thu Feb  4 13:29:20 2021,scout_tutorial.adoc,Claudio Guglielmo
Thu Feb  4 13:29:20 2021,technical-guide.adoc,Claudio Guglielmo
Tue Feb 16 17:21:59 2021,index.js,Claudio Guglielmo
Tue Feb 16 17:21:59 2021,BooleanColumnPropertiesBox.js,Claudio Guglielmo
Tue Feb 16 17:21:59 2021,BooleanColumnPropertiesBoxModel.js,Claudio Guglielmo
Tue Feb 16 17:21:59 2021,TableForm.js,Claudio Guglielmo
