date_time,file,committer_name
Fri Dec 15 14:41:52 2023,TabbarPasteFormatMenuManager.java,Séraphin Costa
Tue Dec 19 13:15:15 2023,plugin.properties,Séraphin Costa
Tue Dec 19 13:15:15 2023,DistributeAction.java,Séraphin Costa
Tue Dec 19 13:15:15 2023,ArrangeBorderNodesAction.java,Séraphin Costa
Tue Dec 19 13:15:15 2023,TabbarArrangeMenuManager.java,Séraphin Costa
Tue Dec 19 13:15:15 2023,BorderItemAwareLayoutProvider.java,Séraphin Costa
Tue Dec 19 13:15:15 2023,CompositeDownTopProvider.java,Séraphin Costa
Tue Dec 19 13:15:15 2023,CompositeLeftRightProvider.java,Séraphin Costa
Tue Dec 19 13:15:15 2023,CompositeTopDownProvider.java,Séraphin Costa
Tue Dec 19 13:15:15 2023,OrderedTreeLayoutProvider.java,Séraphin Costa
Tue Dec 19 13:15:15 2023,Messages.java,Séraphin Costa
Tue Dec 19 13:15:15 2023,ArrangeAllLinkedBorderedNodesLayoutStabilityTest.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,DiagramEditorContextMenuProvider.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,AbstractLayoutProvider.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,ArrangeAllWithAutoSize.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,AbstractCompositeLayoutProvider.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,ArrangeSelectionLayoutProvider.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,BorderItemAwareLayoutProvider.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,PinnedElementsLayoutProvider.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,EditPartQuery.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,DiagramPreferenceInitializer.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,SiriusDiagramPreferencesKeys.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,plugin.properties,Séraphin Costa
Wed Dec 20 17:18:15 2023,plugin.xml,Séraphin Costa
Wed Dec 20 17:18:15 2023,SiriusContributionItemProvider.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,ActionIds.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,MovePinnedElementsAction.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,TabbarArrangeMenuManager.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,DiagramEditorContextMenuProvider.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,EditPartQuery.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,Messages.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,AbstractSiriusSwtBotGefTestCase.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,ArrangeAllLinkedBorderedNodesLayoutStabilityTest.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,PinnedElementsTest.java,Séraphin Costa
Wed Dec 20 17:18:15 2023,LockedTabBarTest.java,Séraphin Costa
Thu Dec 28  9:14:16 2023,ArrangeAllLinkedBorderedNodesLayoutStabilityTest.java,Séraphin Costa
Thu Dec 28 17:38:07 2023,plugin.properties,Séraphin Costa
Thu Dec 28 17:38:07 2023,plugin.xml,Séraphin Costa
Thu Dec 28 17:38:07 2023,DiagramEditorContextMenuProvider.java,Séraphin Costa
Thu Dec 28 17:38:07 2023,Messages.java,Séraphin Costa
Thu Dec 28 17:38:07 2023,plugin.properties,Séraphin Costa
Thu Dec 28 17:38:07 2023,DiagramUIPlugin.java,Séraphin Costa
Thu Dec 28 17:38:07 2023,Messages.java,Séraphin Costa
