date_time,file,committer_name
Thu Aug  6  6:53:41 2015,SiriusMessageDialogWithToggle.java,Maxime Porhel
Thu Aug  6  6:53:41 2015,CheckboxTreeAndListGroup.java,Maxime Porhel
Thu Aug  6  6:53:41 2015,ServiceProposalProvider.java,Maxime Porhel
Thu Aug  6  6:53:41 2015,TimeProfiler2.java,Maxime Porhel
Thu Aug  6  6:53:41 2015,SequenceHorizontalLayout.java,Maxime Porhel
Thu Aug  6  6:53:41 2015,VerticalSpaceExpansion.java,Maxime Porhel
Thu Aug  6  6:53:41 2015,SiriusTestCase.java,Maxime Porhel
Thu Aug  6  6:53:41 2015,AbstractSiriusSwtBotGefTestCase.java,Maxime Porhel
Thu Aug  6  6:53:41 2015,VisualBindingManager.java,Maxime Porhel
Thu Aug  6  6:53:41 2015,AbstractInterpretedExpressionQuery.java,Maxime Porhel
Thu Aug  6  6:53:41 2015,Sirius3CleanUpParticipant.java,Maxime Porhel
Thu Aug  6  6:53:41 2015,AttachSemanticResourcesJob.java,Maxime Porhel
Thu Aug  6  6:54:18 2015,CombinedFragmentResizableEditPolicy.java,Maxime Porhel
Thu Aug  6  6:54:18 2015,SequenceMessageEditPolicy.java,Maxime Porhel
Thu Aug  6  6:54:18 2015,SequenceSiriusGraphicalNodeEditPolicy.java,Maxime Porhel
Thu Aug  6  6:54:18 2015,AbstractNodeEventResizeSelectionValidator.java,Maxime Porhel
Thu Aug  6  6:54:18 2015,FinalParentHelper.java,Maxime Porhel
Thu Aug  6  6:54:18 2015,FilteredTree.java,Maxime Porhel
Thu Aug  6  6:54:18 2015,DTargetColumnEditingSupport.java,Maxime Porhel
Thu Aug  6  6:54:18 2015,ExportToCsvHandler.java,Maxime Porhel
Thu Aug  6  6:54:18 2015,SiriusTestCase.java,Maxime Porhel
Thu Aug  6  6:54:18 2015,DTreeItemLabelProvider.java,Maxime Porhel
Thu Aug  6  6:54:18 2015,SaveSessionWhenNoDialectEditorsListener.java,Maxime Porhel
Thu Aug  6  6:54:18 2015,FilteredCommonTree.java,Maxime Porhel
Thu Aug  6  6:54:18 2015,SessionManagerImpl.java,Maxime Porhel
Thu Aug  6  9:46:29 2015,AbstractSiriusSwtBotGefTestCase.java,Maxime Porhel
Fri Aug  7  9:30:39 2015,DiagramContainerEditPartOperation.java,Maxime Porhel
Fri Aug  7  9:31:06 2015,AbstractDiagramElementContainerEditPart.java,Maxime Porhel
Fri Aug  7  9:31:06 2015,DiagramContainerEditPartOperation.java,Maxime Porhel
Fri Aug  7  9:31:06 2015,OneLineMarginBorder.java,Maxime Porhel
Fri Aug  7  9:31:06 2015,RoundedCornerMarginBorder.java,Maxime Porhel
Mon Aug 10  7:45:38 2015,AbstractDiagramElementContainerEditPart.java,Maxime Porhel
Mon Aug 10  7:45:38 2015,DiagramContainerEditPartOperation.java,Maxime Porhel
Mon Aug 10  7:45:38 2015,RegionRoundedGradientRectangle.java,Maxime Porhel
Thu Aug 13  8:04:44 2015,DiagramContainerEditPartOperation.java,Maxime Porhel
Thu Aug 13  8:04:44 2015,RegionRoundedGradientRectangle.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,plugin.properties,Maxime Porhel
Thu Aug 13  8:04:47 2015,BorderedStyleDescriptionItemProvider.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,ContainerStyleDescriptionItemProvider.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,NodeStyleDescriptionItemProvider.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,BorderedStyleItemProvider.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,ContainerStyleItemProvider.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,NodeStyleItemProvider.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,diagram.ecore,Maxime Porhel
Thu Aug 13  8:04:47 2015,diagram.genmodel,Maxime Porhel
Thu Aug 13  8:04:47 2015,BorderedStyle.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,DiagramPackage.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,BorderedStyleDescription.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,StylePackage.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,BorderedStyleDescriptionImpl.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,ContainerStyleDescriptionImpl.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,NodeStyleDescriptionImpl.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,StylePackageImpl.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,BorderedStyleImpl.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,ContainerStyleImpl.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,DiagramPackageImpl.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,NodeStyleImpl.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,plugin.xml,Maxime Porhel
Thu Aug 13  8:04:47 2015,BorderedStyleDescriptionBorderLineStyleFilter.java,Maxime Porhel
Thu Aug 13  8:04:47 2015,BorderedStyleDescriptionBorderLineStylePropertySection.java,Maxime Porhel
Thu Aug 13  8:04:51 2015,StyleHelper.java,Maxime Porhel
Thu Aug 13  8:04:51 2015,StyleHelperTest.java,Maxime Porhel
Thu Aug 13  8:04:54 2015,StyleHelper.java,Maxime Porhel
Thu Aug 13  8:04:56 2015,StyleHelper.java,Maxime Porhel
Thu Aug 13  8:04:59 2015,DiagramContainerEditPartOperation.java,Maxime Porhel
Thu Aug 13  8:04:59 2015,DiagramEdgeEditPartOperation.java,Maxime Porhel
Thu Aug 13  8:04:59 2015,DiagramElementEditPartOperation.java,Maxime Porhel
Thu Aug 13  8:04:59 2015,DiagramNodeEditPartOperation.java,Maxime Porhel
Thu Aug 13  8:04:59 2015,AbstractGeoShapePolygonFigure.java,Maxime Porhel
Thu Aug 13  8:05:02 2015,My.ecore,Maxime Porhel
Thu Aug 13  8:05:02 2015,borderLineStyle.odesign,Maxime Porhel
Thu Aug 13  8:05:02 2015,representations.aird,Maxime Porhel
Thu Aug 13  8:05:02 2015,LineStyleTest.java,Maxime Porhel
Thu Aug 13  8:05:02 2015,AllTestSuite.java,Maxime Porhel
Thu Aug 13  8:05:05 2015,AbstractDiagramContainerEditPart.java,Maxime Porhel
Thu Aug 13 16:19:02 2015,DiagramContainerEditPartOperation.java,Maxime Porhel
Fri Aug 14 13:23:54 2015,DotEditPart.java,Maxime Porhel
Fri Aug 14 13:23:54 2015,SquareEditPart.java,Maxime Porhel
Fri Aug 14 13:23:54 2015,GradientRoundedRectangle.java,Maxime Porhel
Fri Aug 14 13:23:54 2015,ViewNodeContainerParallelogram.java,Maxime Porhel
Fri Aug 14 13:23:54 2015,ViewNodeContainerRectangleFigureDesc.java,Maxime Porhel
Fri Aug 14 13:23:54 2015,Release_Notes.html,Maxime Porhel
Fri Aug 14 13:23:54 2015,Release_Notes.textile,Maxime Porhel
Tue Aug 18 15:32:12 2015,AbstractDiagramNodeEditPartOperation.java,Maxime Porhel
Wed Aug 19  7:34:37 2015,DDiagramSynchronizer.java,Maxime Porhel
Wed Aug 19 14:41:23 2015,DiagramContainerEditPartOperation.java,Maxime Porhel
Wed Aug 19 14:41:23 2015,DiagramEdgeEditPartOperation.java,Maxime Porhel
Wed Aug 19 14:41:23 2015,DiagramElementEditPartOperation.java,Maxime Porhel
Wed Aug 19 14:41:23 2015,DiagramNodeEditPartOperation.java,Maxime Porhel
Wed Aug 19 14:41:23 2015,LineStyleTest.java,Maxime Porhel
Fri Aug 21  6:50:39 2015,AbstractCanonicalSynchronizer.java,Maxime Porhel
Fri Aug 21  6:50:39 2015,DSemanticDiagramScopePredicate.java,Maxime Porhel
Fri Aug 21  6:50:39 2015,DDiagramCanonicalSynchronizer.java,Maxime Porhel
Fri Aug 21  6:50:42 2015,plugin.xml,Maxime Porhel
Fri Aug 21  6:50:42 2015,SiriusContributionItemProvider.java,Maxime Porhel
Fri Aug 21  6:50:42 2015,SizeBothAction.java,Maxime Porhel
Fri Aug 21  6:50:42 2015,TabbarFillerWithoutContributions.java,Maxime Porhel
Fri Aug 21  6:50:42 2015,DiagramElementSizeExtensionContributionFactory.java,Maxime Porhel
Fri Aug 21  7:22:37 2015,AbstractDiagramElementContainerEditPart.java,Maxime Porhel
Fri Aug 21  7:22:37 2015,AirResizableEditPolicy.java,Maxime Porhel
Fri Aug 21  7:22:37 2015,AirXYLayoutEditPolicy.java,Maxime Porhel
Fri Aug 21  7:22:37 2015,RegionContainerResizableEditPolicy.java,Maxime Porhel
Fri Aug 21  7:22:37 2015,RegionRegionContainerResizableEditPolicy.java,Maxime Porhel
Fri Aug 21  7:22:37 2015,RegionResizableEditPolicy.java,Maxime Porhel
Fri Aug 21  7:22:37 2015,ChildrenAdjustmentCommand.java,Maxime Porhel
Fri Aug 21  7:22:37 2015,DDiagramCanonicalSynchronizer.java,Maxime Porhel
Fri Aug 21  7:22:37 2015,NotificationQuery.java,Maxime Porhel
Fri Aug 21  7:22:37 2015,Release_Notes.html,Maxime Porhel
Fri Aug 21  7:22:37 2015,Release_Notes.textile,Maxime Porhel
Tue Aug 25 13:22:51 2015,org.eclipse.jdt.core.prefs,Maxime Porhel
Tue Aug 25 13:22:51 2015,XTextResourceSetFactory.java,Maxime Porhel
Tue Aug 25 13:22:54 2015,org.eclipse.jdt.core.prefs,Maxime Porhel
Tue Aug 25 13:22:54 2015,MANIFEST.MF,Maxime Porhel
Tue Aug 25 13:22:54 2015,plugin.properties,Maxime Porhel
Tue Aug 25 13:22:54 2015,AcceleoProposalProvider.java,Maxime Porhel
Tue Aug 25 13:22:54 2015,Messages.java,Maxime Porhel
Tue Aug 25 13:22:54 2015,WorkspaceJavaImportHandler.java,Maxime Porhel
Tue Aug 25 13:22:54 2015,Release_Notes.html,Maxime Porhel
Tue Aug 25 13:22:54 2015,Release_Notes.textile,Maxime Porhel
Tue Aug 25 13:22:56 2015,org.eclipse.jdt.core.prefs,Maxime Porhel
Tue Aug 25 13:22:56 2015,MANIFEST.MF,Maxime Porhel
Tue Aug 25 13:22:56 2015,plugin.properties,Maxime Porhel
Tue Aug 25 13:22:56 2015,Messages.java,Maxime Porhel
Tue Aug 25 13:22:56 2015,JavaImportHandler.java,Maxime Porhel
Tue Aug 25 13:22:56 2015,AcceleoMTLInterpreter.java,Maxime Porhel
Tue Aug 25 13:22:56 2015,DynamicAcceleoModule.java,Maxime Porhel
Tue Aug 25 13:22:56 2015,Release_Notes.html,Maxime Porhel
Tue Aug 25 13:22:56 2015,Release_Notes.textile,Maxime Porhel
Tue Aug 25 13:30:02 2015,GMFHelper.java,Maxime Porhel
Tue Aug 25 13:42:33 2015,RegionContainerResizableEditPolicy.java,Maxime Porhel
Tue Aug 25 13:42:33 2015,RegionResizableEditPolicy.java,Maxime Porhel
Tue Aug 25 13:44:36 2015,RegionContainerUpdateLayoutOperation.java,Maxime Porhel
Tue Aug 25 13:44:39 2015,AbstractDNodeContainerCompartmentEditPart.java,Maxime Porhel
Tue Aug 25 13:44:42 2015,AbstractDiagramElementContainerEditPart.java,Maxime Porhel
Tue Aug 25 13:44:42 2015,DiagramContainerEditPartOperation.java,Maxime Porhel
Thu Aug 27  8:07:34 2015,DiagramContainerEditPartOperation.java,Maxime Porhel
Thu Aug 27  8:54:17 2015,DiagramContainerEditPartOperation.java,Maxime Porhel
Thu Aug 27  8:54:17 2015,RegionRoundedGradientRectangle.java,Maxime Porhel
Thu Aug 27  8:54:20 2015,AbstractDiagramElementContainerEditPart.java,Maxime Porhel
Thu Aug 27  8:54:20 2015,DiagramContainerEditPartOperation.java,Maxime Porhel
Thu Aug 27  8:54:20 2015,SetStyleToWorkspaceImageTests.java,Maxime Porhel
Thu Aug 27  8:54:22 2015,SiriusLayoutDataManagerImpl.java,Maxime Porhel
Thu Aug 27  8:54:22 2015,SiriusContainerEditPolicy.java,Maxime Porhel
Thu Aug 27  8:54:22 2015,DesignerResolutionGenerator.java,Maxime Porhel
Thu Aug 27  8:54:22 2015,DDiagramEditorImpl.java,Maxime Porhel
Thu Aug 27  8:54:22 2015,EMFUtil.java,Maxime Porhel
Thu Aug 27  8:54:22 2015,WorkspaceClassLoading.java,Maxime Porhel
Thu Aug 27  8:54:22 2015,LogThroughActiveDialectEditorLogListener.java,Maxime Porhel
Thu Aug 27  8:54:25 2015,AlphaDropShadowBorder.java,Maxime Porhel
Thu Aug 27 14:16:44 2015,ImageSelectorService.java,Maxime Porhel
Fri Aug 28  7:40:03 2015,DiagramNameEditPartOperation.java,Maxime Porhel
Fri Aug 28  7:40:03 2015,DiagramElementEditPartOperation.java,Maxime Porhel
Fri Aug 28  7:40:03 2015,DNodeListElementEditPart.java,Maxime Porhel
Fri Aug 28 12:19:34 2015,plugin.properties,Maxime Porhel
Fri Aug 28 12:19:34 2015,plugin.xml,Maxime Porhel
Fri Aug 28 12:19:34 2015,ContainerMappingChildrenPresentationConstraints.java,Maxime Porhel
Fri Aug 28 12:19:34 2015,Release_Notes.html,Maxime Porhel
Fri Aug 28 12:19:34 2015,Release_Notes.textile,Maxime Porhel
Fri Aug 28 12:19:34 2015,ContainerMappingChildrenPresentationPropertySectionSpec.java,Maxime Porhel
Fri Aug 28 12:19:34 2015,CompartmentsTests.java,Maxime Porhel
Tue Sep  1  8:56:18 2015,Release_Notes.html,Maxime Porhel
Tue Sep  1  8:56:18 2015,Release_Notes.textile,Maxime Porhel
Tue Sep  1  8:56:18 2015,org.eclipse.jdt.core.prefs,Maxime Porhel
Tue Sep  1  8:56:18 2015,MANIFEST.MF,Maxime Porhel
Tue Sep  1  8:56:18 2015,plugin.properties,Maxime Porhel
Tue Sep  1  8:56:18 2015,Messages.java,Maxime Porhel
Tue Sep  1  8:56:18 2015,SiriusEvaluationTask.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,org.eclipse.jdt.core.prefs,Maxime Porhel
Thu Sep  3  8:21:39 2015,MANIFEST.MF,Maxime Porhel
Thu Sep  3  8:21:39 2015,plugin.properties,Maxime Porhel
Thu Sep  3  8:21:39 2015,Messages.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,SequenceDiagramTypeProvider.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,VisibilityEventHandler.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,ExecutionOperations.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,ResizeViewOperation.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,ShiftDescendantMessagesOperation.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,ShiftMessagesOperation.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,InteractionUseEditPart.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,CombinedFragmentResizableEditPolicy.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,EndOfLifeSelectionPolicy.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,ExecutionSelectionEditPolicy.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,InstanceRoleResizableEditPolicy.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,InstanceRoleSiriusGraphicalNodeEditPolicy.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,InteractionUseResizableEditPolicy.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,OperandResizableEditPolicy.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,SequenceContainerCreationPolicy.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,SequenceMessageEditPolicy.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,AbstractInstanceRoleValidator.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,AbstractNodeEventResizeSelectionValidator.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,SequenceLayoutProvider.java,Maxime Porhel
Thu Sep  3  8:21:39 2015,Release_Notes.html,Maxime Porhel
Thu Sep  3  8:21:39 2015,Release_Notes.textile,Maxime Porhel
Thu Sep  3  9:39:12 2015,org.eclipse.jdt.core.prefs,Maxime Porhel
Thu Sep  3  9:39:12 2015,MANIFEST.MF,Maxime Porhel
