date_time,file,committer_name
Fri Oct 30 15:04:12 2015,SessionEditorInput.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,plugin.properties,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,DiagramDialectUIServices.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,SiriusMarkerNavigationProvider.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,SiriusDiagramEditor.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,DDiagramEditorImpl.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,DiagramOutlinePage.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,Tabbar.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,SiriusDiagramGraphicalViewer.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,SiriusDiagramPrintPreviewAction.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,SiriusDiagramPrintPreviewHelper.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,SiriusEnhancedPrintActionHelper.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,FiltersTableViewer.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,LayersTableViewer.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,Messages.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,Release_Notes.html,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,Release_Notes.textile,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,plugin.properties,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,Messages.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,AbstractDTableEditor.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,DTableActionBarContributor.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,plugin.properties,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,TreeDialectUIServices.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,Messages.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,DTreeActionBarContributor.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,DTreeEditor.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,SessionEditorInput.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,SessionEditorInputFactory.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,AbstractDTreeEditor.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,UndoRedoActionHandler.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,OpenRepresentationsFileJob.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,plugin.properties,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,SessionManagerImpl.java,Esteban Dugueperoux
Mon Nov  2  7:55:16 2015,DAnalysisSessionImpl.java,Esteban Dugueperoux
Mon Nov  2  8:41:57 2015,Release_Notes.html,Esteban Dugueperoux
Mon Nov  2  8:41:57 2015,Release_Notes.textile,Esteban Dugueperoux
Mon Nov  2  8:41:57 2015,DefaultTestMemento.java,Esteban Dugueperoux
Mon Nov  2  8:41:57 2015,AllCommonPluginTests.java,Esteban Dugueperoux
Mon Nov  2  8:41:57 2015,DialectEditorsOpeningWithFailingSessionOpeningTests.java,Esteban Dugueperoux
Mon Nov  2 14:35:18 2015,DialectEditorsOpeningWithFailingSessionOpeningTests.java,Esteban Dugueperoux
Tue Nov  3  8:41:46 2015,DDiagramEditorImpl.java,Esteban Dugueperoux
