date_time,file,committer_name
Fri Feb 11 10:27:00 2022,CHANGELOG.adoc,Laurent Delaigue
Fri Feb 11 10:27:00 2022,ISemanticCandidatesProviderFactory.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,AbstractNodeMappingConverter.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,EdgeMappingConverter.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,RelationBasedSemanticElementsProvider.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,ForDescriptionConverter.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,WidgetDescriptionConverter.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,DefaultTestDiagramDescriptionProvider.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,TestDiagramDescriptionBuilder.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,EdgeComponent.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,NodeComponent.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,EdgeDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,NodeDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,SemanticCandidatesProvider.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,EEnumIfDescriptionProvider.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,EStructuralFeatureChoiceOfValueProvider.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,MonoValuedNonContainmentReferenceIfDescriptionProvider.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,MultiValuedNonContainmentReferenceIfDescriptionProvider.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,PropertiesDefaultDescriptionProvider.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,PropertiesValidationProvider.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,IPropertiesValidationProvider.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,DiagramDescriptionConverter.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,NodeStylePropertiesConfigurer.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,RelationBasedSemanticElementsProvider.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,SemanticCandidatesProviderTests.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,ForComponent.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,GroupComponent.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,ListComponent.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,MultiSelectComponent.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,PageComponent.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,RadioComponent.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,SelectComponent.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,AbstractWidgetDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,CheckboxDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,ForDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,GroupDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,ListDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,MultiSelectDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,OptionDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,PageDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,RadioDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,SelectDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,TextareaDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,TextfieldDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,DiagnosticComponent.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,SelectionDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,SelectionRenderer.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,TreeDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,TreeRenderer.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,ValidationComponent.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,ValidationDescription.java,Laurent Delaigue
Fri Feb 11 10:27:00 2022,042_use_wildcard_collections.adoc,Laurent Delaigue
