date_time,file,committer_name
Tue May 17 15:49:32 2022,class_demo.py,David Berrocal
Tue May 17 15:49:32 2022,config.ini,David Berrocal
Tue May 17 15:49:32 2022,insert_demo.py,David Berrocal
Tue May 17 15:49:32 2022,requirements.txt,David Berrocal
Tue May 17 15:49:32 2022,run.bash,David Berrocal
Tue May 17 15:49:32 2022,search_demo.py,David Berrocal
Tue May 17 15:49:32 2022,__main__.py,David Berrocal
Tue May 17 15:49:32 2022,api.py,David Berrocal
Tue May 17 15:49:32 2022,bitbucket_api.py,David Berrocal
Tue May 17 15:49:32 2022,github_api.py,David Berrocal
Tue May 17 15:49:32 2022,gitlab_api.py,David Berrocal
Tue May 17 15:49:32 2022,insert_api.py,David Berrocal
Tue May 17 15:49:32 2022,bitbucket_model.py,David Berrocal
Tue May 17 15:49:32 2022,github_model.py,David Berrocal
Tue May 17 15:49:32 2022,gitlab_model.py,David Berrocal
Tue May 17 15:49:32 2022,search_api.py,David Berrocal
Tue May 17 15:49:32 2022,service_discovery_models.py,David Berrocal
Tue May 17 15:49:32 2022,v1.py,David Berrocal
Tue May 17 15:49:32 2022,database_handler.py,David Berrocal
Tue May 17 15:49:32 2022,elasticsearch.py,David Berrocal
Tue May 17 15:49:32 2022,scr_bitbucket.py,David Berrocal
Tue May 17 15:49:32 2022,scr_github.py,David Berrocal
Tue May 17 15:49:32 2022,scr_gitlab.py,David Berrocal
Tue May 17 15:49:32 2022,utils.py,David Berrocal
Tue May 17 15:49:32 2022,setup.py,David Berrocal
Wed May 18 14:04:45 2022,config.ini,David Berrocal
Wed May 18 14:04:45 2022,bitbucket_api.py,David Berrocal
Wed May 18 14:04:45 2022,github_api.py,David Berrocal
Wed May 18 14:04:45 2022,gitlab_api.py,David Berrocal
Wed May 18 14:04:45 2022,insert_api.py,David Berrocal
Wed May 18 14:04:45 2022,bitbucket_parser.py,David Berrocal
Wed May 18 14:04:45 2022,search_api.py,David Berrocal
Wed May 18 14:04:45 2022,service_discovery_models.py,David Berrocal
Wed May 18 14:04:45 2022,config.py,David Berrocal
Wed May 18 14:04:45 2022,database_handler.py,David Berrocal
Wed May 18 14:04:45 2022,clean_data.py,David Berrocal
Wed May 18 14:04:45 2022,scr_bitbucket.py,David Berrocal
Wed May 18 14:04:45 2022,scr_github.py,David Berrocal
Wed May 18 14:04:45 2022,scr_gitlab.py,David Berrocal
Wed May 18 14:29:18 2022,insert_api.py,David Berrocal
Wed May 18 14:29:18 2022,search_api.py,David Berrocal
