date_time,file,committer_name
Mon Jun 12  7:28:26 2017,MANIFEST.MF,Christoph Weitkamp
Mon Jun 12  7:28:26 2017,YahooWeatherBindingConstants.java,Christoph Weitkamp
Mon Jun 12  7:28:26 2017,YahooWeatherHandler.java,Christoph Weitkamp
Mon Jun 12  7:28:26 2017,ExpiringCache.java,Christoph Weitkamp
Mon Jun 12  7:28:26 2017,YahooWeatherConnection.java,Christoph Weitkamp
Mon Jun 12 21:08:41 2017,YahooWeatherHandler.java,Christoph Weitkamp
Mon Jun 12 21:08:41 2017,YahooWeatherConnection.java,Christoph Weitkamp
Wed Jun 28 13:37:14 2017,ExpiringCacheMapTest.java,Christoph Weitkamp
Wed Jun 28 13:37:14 2017,ExpiringCacheTest.java,Christoph Weitkamp
Wed Jun 28 13:37:14 2017,ExpiringCacheMap.java,Christoph Weitkamp
Thu Jun 29  7:15:48 2017,SystemWideChannelTypesTest.groovy,Christoph Weitkamp
Thu Jun 29  7:15:48 2017,SystemChannels_de.properties,Christoph Weitkamp
Thu Jun 29  7:15:48 2017,DefaultSystemChannels_de.properties,Christoph Weitkamp
Thu Jun 29  7:15:48 2017,MANIFEST.MF,Christoph Weitkamp
Thu Jun 29  7:15:48 2017,DefaultSystemChannelTypeProvider.xml,Christoph Weitkamp
Thu Jun 29  7:15:48 2017,DefaultSystemChannelTypeProvider.java,Christoph Weitkamp
Fri Jun 30 11:38:03 2017,AudioManagerTest.groovy,Christoph Weitkamp
Fri Jun 30 11:38:03 2017,AudioSinkFake.groovy,Christoph Weitkamp
Fri Jun 30 11:38:03 2017,AudioSink.java,Christoph Weitkamp
Fri Jun 30 11:38:03 2017,UnsupportedAudioStreamException.java,Christoph Weitkamp
Fri Jun 30 11:38:03 2017,AudioManagerImpl.java,Christoph Weitkamp
Fri Jun 30 11:38:03 2017,DialogProcessor.java,Christoph Weitkamp
Fri Jun 30 11:38:03 2017,VoiceManagerImpl.java,Christoph Weitkamp
Fri Jun 30 11:38:03 2017,MANIFEST.MF,Christoph Weitkamp
Fri Jun 30 11:38:03 2017,SonosAudioSink.java,Christoph Weitkamp
Fri Jun 30 11:38:03 2017,JavaSoundAudioSink.java,Christoph Weitkamp
Fri Jun 30 11:38:03 2017,SSEAudioSink.java,Christoph Weitkamp
Mon Jul  3  9:34:24 2017,README.md,Christoph Weitkamp
Mon Jul  3  9:34:24 2017,TradfriLightHandler.java,Christoph Weitkamp
Mon Jul  3  9:34:24 2017,TradfriDiscoveryService.java,Christoph Weitkamp
