date_time,file,committer_name
Mon Jun 30 22:03:55 2014,FolderObserver.java,Fabio Marini
Sun Jul  6 23:58:43 2014,MANIFEST.MF,Fabio Marini
Sun Jul  6 23:58:43 2014,configdispatcher.xml,Fabio Marini
Sun Jul  6 23:58:43 2014,ConfigDispatcher.java,Fabio Marini
Sun Jul  6 23:58:43 2014,IConfigDispatcherService.java,Fabio Marini
Sun Jul  6 23:58:43 2014,javascriptservice.xml,Fabio Marini
Sun Jul  6 23:58:43 2014,mapservice.xml,Fabio Marini
Sun Jul  6 23:58:43 2014,xsltservice.xml,Fabio Marini
Sun Jul  6 23:58:43 2014,JavaScriptTransformationService.java,Fabio Marini
Sun Jul  6 23:58:43 2014,MapTransformationService.java,Fabio Marini
Sun Jul  6 23:58:43 2014,XsltTransformationService.java,Fabio Marini
Sun Jul  6 23:58:43 2014,AbstractWatchQueueReader.java,Fabio Marini
Sun Jul  6 23:58:43 2014,AbstractWatchService.java,Fabio Marini
Sun Jul  6 23:58:43 2014,plugin.xml,Fabio Marini
Sun Jul  6 23:58:43 2014,CoreActivator.java,Fabio Marini
Sun Jul  6 23:58:43 2014,ConfigurationFolderProvider.java,Fabio Marini
Sun Jul  6 23:58:43 2014,MANIFEST.MF,Fabio Marini
Sun Jul  6 23:58:43 2014,folderobserver.xml,Fabio Marini
Sun Jul  6 23:58:43 2014,FolderObserver.java,Fabio Marini
Sun Jul  6 23:58:43 2014,iconprovider.xml,Fabio Marini
Sun Jul  6 23:58:43 2014,DefaultIconProvider.java,Fabio Marini
