date_time,file,committer_name
Sat Sep 29  7:35:11 2018,.nycrc,Jan Koehnlein
Sat Sep 29  7:35:11 2018,launch.json,Jan Koehnlein
Sat Sep 29  7:35:11 2018,settings.json,Jan Koehnlein
Sat Sep 29  7:35:11 2018,LICENSE,Jan Koehnlein
Sat Sep 29  7:35:11 2018,README.md,Jan Koehnlein
Sat Sep 29  7:35:11 2018,base.tsconfig.json,Jan Koehnlein
Sat Sep 29  7:35:11 2018,examples.tsconfig.json,Jan Koehnlein
Sat Sep 29  7:35:11 2018,mocha.opts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,tslint.json,Jan Koehnlein
Sat Sep 29  7:35:11 2018,webpack.config.js,Jan Koehnlein
Sat Sep 29  7:35:11 2018,sprotty.css,Jan Koehnlein
Sat Sep 29  7:35:11 2018,app.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,circlegraph.html,Jan Koehnlein
Sat Sep 29  7:35:11 2018,diagram.css,Jan Koehnlein
Sat Sep 29  7:35:11 2018,page.css,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,standalone.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,views.tsx,Jan Koehnlein
Sat Sep 29  7:35:11 2018,class-diagram.html,Jan Koehnlein
Sat Sep 29  7:35:11 2018,diagram.css,Jan Koehnlein
Sat Sep 29  7:35:11 2018,page.css,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model-provider.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,popup.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,standalone.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,views.tsx,Jan Koehnlein
Sat Sep 29  7:35:11 2018,Dockerfile,Jan Koehnlein
Sat Sep 29  7:35:11 2018,example01.multicore,Jan Koehnlein
Sat Sep 29  7:35:11 2018,example02.multicore,Jan Koehnlein
Sat Sep 29  7:35:11 2018,diagram.css,Jan Koehnlein
Sat Sep 29  7:35:11 2018,page.css,Jan Koehnlein
Sat Sep 29  7:35:11 2018,flow-server.html,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,flow-server.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,flowmodel.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,views.tsx,Jan Koehnlein
Sat Sep 29  7:35:11 2018,index.html,Jan Koehnlein
Sat Sep 29  7:35:11 2018,diagram.css,Jan Koehnlein
Sat Sep 29  7:35:11 2018,page.css,Jan Koehnlein
Sat Sep 29  7:35:11 2018,mindmap.html,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,popup.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,standalone.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,views.tsx,Jan Koehnlein
Sat Sep 29  7:35:11 2018,diagram.css,Jan Koehnlein
Sat Sep 29  7:35:11 2018,page.css,Jan Koehnlein
Sat Sep 29  7:35:11 2018,multicore-flow-combined.html,Jan Koehnlein
Sat Sep 29  7:35:11 2018,multicore-server.html,Jan Koehnlein
Sat Sep 29  7:35:11 2018,multicore.html,Jan Koehnlein
Sat Sep 29  7:35:11 2018,chipmodel-factory.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,chipmodel.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,multicore-flow.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,multicore-server.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,multicore.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,views.tsx,Jan Koehnlein
Sat Sep 29  7:35:11 2018,xtext-editor-setup.js,Jan Koehnlein
Sat Sep 29  7:35:11 2018,diagram.css,Jan Koehnlein
Sat Sep 29  7:35:11 2018,page.css,Jan Koehnlein
Sat Sep 29  7:35:11 2018,Ghostscript_Tiger.svg,Jan Koehnlein
Sat Sep 29  7:35:11 2018,SVG_logo.svg,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,standalone.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,svg-prerendered.html,Jan Koehnlein
Sat Sep 29  7:35:11 2018,package.json,Jan Koehnlein
Sat Sep 29  7:35:11 2018,action-dispatcher.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,action-dispatcher.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,action-handler.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,action.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,animation-frame-syncer.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,animation.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,easing.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,easing.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,command-stack-options.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,command-stack.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,command-stack.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,command.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,initialize-canvas.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,initialize-canvas.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,set-model.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,set-model.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,smodel-extension.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,smodel-factory.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,smodel-factory.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,smodel-storage.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,smodel-utils.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,smodel.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,smodel.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,types.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,dom-helper.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,id-decorator.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,key-tool.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,mouse-tool.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,thunk-view.spec.tsx,Jan Koehnlein
Sat Sep 29  7:35:11 2018,thunk-view.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,view.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,view.tsx,Jan Koehnlein
Sat Sep 29  7:35:11 2018,viewer-cache.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,viewer-options.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,viewer.tsx,Jan Koehnlein
Sat Sep 29  7:35:11 2018,vnode-decorators.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,vnode-utils.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,abstract-layout.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,bounds-manipulation.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,bounds-manipulations.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,hbox-layout.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,hbox-layout.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,hidden-bounds-updater.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,layout-options.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,layout.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,resize.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,stack-layout.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,stack-layout.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,vbox-layout.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,vbox-layout.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,button-handler.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,edit-routing.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,expand.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,views.tsx,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,export.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,export.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,svg-exporter.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,fade.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,hover.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,hover.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,initializer.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,popup-position-updater.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,move.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,move.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,open.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,select.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,select.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,undo-redo.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model-matching.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model-matching.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,update-model.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,update-model.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,center-fit.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,di.config.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,scroll.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,viewport-root.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,viewport.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,viewport.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,zoom.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,routing.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,sgraph-factory.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,sgraph.spec.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,sgraph.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,views.spec.tsx,Jan Koehnlein
Sat Sep 29  7:35:11 2018,views.tsx,Jan Koehnlein
Sat Sep 29  7:35:11 2018,index.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,generic-views.ts,Jan Koehnlein
Sat Sep 29  7:35:11 2018,html-views.tsx,Jan Koehnlein
Sat Sep 29  7:35:11 2018,model.ts,Jan Koehnlein
