date_time,file,committer_name
Tue Sep 29  8:32:13 2020,hosted-plugin.ts,Igor Vinokur
Tue Oct  6 14:25:19 2020,plugin-context.ts,Igor Vinokur
Tue Oct  6 14:25:19 2020,theia.d.ts,Igor Vinokur
Fri Oct  9 13:40:55 2020,scm-contribution.ts,Igor Vinokur
Mon Oct 12 14:29:52 2020,plugin-api-rpc.ts,Igor Vinokur
Mon Oct 12 14:29:52 2020,worker-main.ts,Igor Vinokur
Mon Oct 12 14:29:52 2020,plugin-host-rpc.ts,Igor Vinokur
Mon Oct 12 14:29:52 2020,terminal-main.ts,Igor Vinokur
Mon Oct 12 14:29:52 2020,plugin-context.ts,Igor Vinokur
Mon Oct 12 14:29:52 2020,plugin-manager.ts,Igor Vinokur
Mon Oct 12 14:29:52 2020,terminal-ext.ts,Igor Vinokur
Mon Oct 12 14:29:52 2020,types-impl.ts,Igor Vinokur
Mon Oct 12 14:29:52 2020,theia.d.ts,Igor Vinokur
Mon Oct 12 14:29:52 2020,terminal-frontend-contribution.ts,Igor Vinokur
Mon Oct 12 14:29:52 2020,base-terminal-protocol.ts,Igor Vinokur
Mon Oct 12 14:29:52 2020,terminal-watcher.ts,Igor Vinokur
Mon Oct 12 14:29:52 2020,base-terminal-server.ts,Igor Vinokur
Mon Oct 12 14:29:52 2020,shell-terminal-server.ts,Igor Vinokur
