date_time,file,committer_name
Thu Jun  1  4:25:05 2023,pom.xml,Dieter Mai
Thu Jun  1  4:25:05 2023,MANIFEST.MF,Dieter Mai
Thu Jun  1  4:25:05 2023,customPomName.xml,Dieter Mai
Thu Jun  1  4:25:05 2023,MANIFEST.MF,Dieter Mai
Thu Jun  1  4:25:05 2023,deepNest.xml,Dieter Mai
Thu Jun  1  4:25:05 2023,MANIFEST.MF,Dieter Mai
Thu Jun  1  4:25:05 2023,pom.xml,Dieter Mai
Thu Jun  1  4:25:05 2023,MANIFEST.MF,Dieter Mai
Thu Jun  1  4:25:05 2023,pom.xml,Dieter Mai
Thu Jun  1  4:25:05 2023,MANIFEST.MF,Dieter Mai
Thu Jun  1  4:25:05 2023,pom.xml,Dieter Mai
Thu Jun  1  4:25:05 2023,MANIFEST.MF,Dieter Mai
Thu Jun  1  4:25:05 2023,foo.bar.pom.xml,Dieter Mai
Thu Jun  1  4:25:05 2023,TychoVersionsPluginTest.java,Dieter Mai
Thu Jun  1  4:25:05 2023,UpdatePomMojo.java,Dieter Mai
Thu Jun  1  4:25:05 2023,ProjectMetadata.java,Dieter Mai
Thu Jun  1  4:25:05 2023,ProjectMetadataReader.java,Dieter Mai
Thu Jun  1  4:25:05 2023,VersionsEngine.java,Dieter Mai
Thu Jun  1  4:25:05 2023,PomManipulator.java,Dieter Mai
