date_time,file,committer_name
Tue Mar 31 20:14:44 2015,MANIFEST.MF,Roberto Sanchez
Tue Mar 31 20:14:44 2015,SingleRootExportParticipant.java,Roberto Sanchez
Fri Apr 10 20:10:31 2015,JavaEEEMFArchiveAdapterHelper.java,Roberto Sanchez
Mon Apr 13 15:00:55 2015,JavaEEEMFArchiveAdapterHelper.java,Roberto Sanchez
Tue Apr 14 21:16:37 2015,CatalogJ2EEXmlDtDEntityResolver.java,Roberto Sanchez
Wed Apr 15 14:38:58 2015,CatalogJ2EEXmlDtDEntityResolver.java,Roberto Sanchez
Wed Apr 15 14:39:00 2015,JavaEEEMFArchiveAdapterHelper.java,Roberto Sanchez
Wed Apr 15 14:39:02 2015,JavaEEEMFArchiveAdapterHelper.java,Roberto Sanchez
Wed Apr 15 19:49:26 2015,MANIFEST.MF,Roberto Sanchez
Wed Apr 15 19:49:26 2015,IJ2EEFacetConstants.java,Roberto Sanchez
Wed Apr 15 19:49:26 2015,pom.xml,Roberto Sanchez
Wed Apr 15 21:15:30 2015,MANIFEST.MF,Roberto Sanchez
Wed Apr 15 21:15:30 2015,pom.xml,Roberto Sanchez
Wed Apr 15 21:15:30 2015,LocalProxyLaunchDelegate.java,Roberto Sanchez
Thu Apr 16 14:41:26 2015,LocalProxyLaunchDelegate.java,Roberto Sanchez
