date_time,file,committer_name
Wed Apr 28  7:40:44 2010,CreateEnterpriseBeanTemplateModel.java,kraev
Wed Apr 28  7:40:48 2010,filter_classHeader.template,kraev
Wed Apr 28  7:40:48 2010,servlet_classHeader.template,kraev
Wed Apr 28  7:40:48 2010,CreateFilterTemplateModel.java,kraev
Wed Apr 28  7:40:48 2010,CreateServletTemplateModel.java,kraev
Wed Apr 28  7:40:48 2010,CreateWebClassTemplateModel.java,kraev
Wed Apr 28  7:40:48 2010,FilterTemplate.java,kraev
Wed Apr 28  7:40:48 2010,ServletTemplate.java,kraev
Wed Apr 28  7:40:48 2010,CreateJavaEEArtifactTemplateModel.java,kraev
Thu May 27 10:53:29 2010,org.eclipse.jdt.core.prefs,kraev
Thu May 27 10:53:29 2010,MANIFEST.MF,kraev
Thu May 27 10:53:29 2010,about.html,kraev
Thu May 27 10:53:29 2010,build.properties,kraev
Thu May 27 10:53:29 2010,plugin.properties,kraev
Thu May 27 10:53:29 2010,BusinessInterfaceSelectionExtensionTest.java,kraev
Thu May 27 10:53:29 2010,Activator.java,kraev
Thu May 27 10:53:29 2010,AllTests.java,kraev
Thu May 27 10:53:29 2010,Messages.java,kraev
Thu May 27 10:53:29 2010,messages.properties,kraev
Thu May 27 10:53:29 2010,test.xml,kraev
