date_time,file,committer_name
Wed Apr 13 19:13:25 2011,XmlDesignPage.java,amitin
Wed Apr 13 19:13:25 2011,XmlExceptionComposite.java,amitin
Wed Apr 13 19:13:25 2011,MANIFEST.MF,amitin
Wed Apr 13 19:13:25 2011,plugin.xml,amitin
Wed Apr 13 19:13:25 2011,errorLogsProviders.exsd,amitin
Wed Apr 13 19:13:25 2011,errorReportProviders.exsd,amitin
Wed Apr 13 19:13:25 2011,ErrorsDialog.java,amitin
Wed Apr 13 19:13:25 2011,ExceptionComposite.java,amitin
Wed Apr 13 19:13:25 2011,JavaExceptionComposite.java,amitin
Wed Apr 13 19:13:25 2011,ProxySettingDialog.java,amitin
Wed Apr 13 19:13:25 2011,ContactSupportDialog.java,amitin
Wed Apr 13 19:13:25 2011,CreateReportDialog.java,amitin
Wed Apr 13 19:13:25 2011,EclipseLogEntryFileReportInfo.java,amitin
Wed Apr 13 19:13:25 2011,EnvironmentFileReportInfo.java,amitin
Wed Apr 13 19:13:25 2011,FileReportEntry.java,amitin
Wed Apr 13 19:13:25 2011,IErrorReport.java,amitin
Wed Apr 13 19:13:25 2011,IReportEntriesProvider.java,amitin
Wed Apr 13 19:13:25 2011,IReportEntry.java,amitin
Wed Apr 13 19:13:25 2011,PreferencesFileReportEntry.java,amitin
Wed Apr 13 19:13:25 2011,ProjectReportEntry.java,amitin
Wed Apr 13 19:13:25 2011,ScreenshotFileReportEntry.java,amitin
Wed Apr 13 19:13:25 2011,StringFileReportEntry.java,amitin
Wed Apr 13 19:13:25 2011,ZipFileErrorReport.java,amitin
Wed Apr 13 19:13:25 2011,EclipseErrorLogsReportEntry.java,amitin
Wed Apr 13 19:13:25 2011,LogsReportEntriesProvider.java,amitin
Wed Apr 13 19:13:25 2011,ParseErrorsLogReportEntry.java,amitin
Wed Apr 13 20:24:19 2011,FileListReportEntry.java,amitin
Wed Apr 13 20:24:19 2011,EclipseErrorLogsReportEntry.java,amitin
Thu Apr 14 23:22:02 2011,ComputerReportInfo.java,amitin
Thu Apr 14 23:22:02 2011,ContactSupportDialog.java,amitin
Thu Apr 14 23:22:02 2011,EclipseLogEntryReportInfo.java,amitin
Thu Apr 14 23:22:02 2011,ErrorReport.java,amitin
Thu Apr 14 23:22:02 2011,FileReportInfo.java,amitin
Thu Apr 14 23:22:02 2011,IReportInfo.java,amitin
Thu Apr 14 23:22:02 2011,IReportSubmitter.java,amitin
Thu Apr 14 23:22:02 2011,LogsReportInfo.java,amitin
Thu Apr 14 23:22:02 2011,MailReportSubmitter.java,amitin
Thu Apr 14 23:22:02 2011,PreferencesReportInfo.java,amitin
Thu Apr 14 23:22:02 2011,ProjectReportInfo.java,amitin
Thu Apr 14 23:22:02 2011,RegistrationReportInfo.java,amitin
Thu Apr 14 23:22:02 2011,ReportInfoUtils.java,amitin
Thu Apr 14 23:22:02 2011,ScreenshotsReportInfo.java,amitin
Thu Apr 14 23:22:02 2011,SourceFileReportInfo.java,amitin
Thu Apr 14 23:22:02 2011,WebReportSubmitter.java,amitin
Thu Apr 14 23:22:02 2011,ZipMultipleFilesReportInfo.java,amitin
Thu Apr 14 23:22:02 2011,ZipSingleFileReportInfo.java,amitin
Thu Apr 14 23:22:02 2011,EclipseErrorLogsProvider.java,amitin
Thu Apr 14 23:22:02 2011,IErrorLogsProvider.java,amitin
Thu Apr 14 23:22:02 2011,ParseErrorsLogProvider.java,amitin
Thu Apr 14 23:24:11 2011,exceptions.xml,amitin
Thu Apr 14 23:24:11 2011,AbstractBrandingDescription.java,amitin
Thu Apr 14 23:24:11 2011,DefaultBrandingDescription.java,amitin
Thu Apr 14 23:24:11 2011,IBrandingDescription.java,amitin
Thu Apr 14 23:24:11 2011,IBrandingSupportInfo.java,amitin
Thu Apr 14 23:24:11 2011,ErrorEntryInfo.java,amitin
Thu Apr 14 23:24:11 2011,ExceptionComposite.java,amitin
Thu Apr 14 23:24:11 2011,DesignerExceptionUtils.java,amitin
Thu Apr 14 23:26:54 2011,ExceptionComposite.java,amitin
Fri Apr 15 19:36:09 2011,EnvironmentFileReportInfo.java,amitin
Fri Apr 15 19:36:09 2011,ParseErrorsLogReportEntry.java,amitin
Fri Apr 15 19:50:21 2011,ZipFileErrorReport.java,amitin
Fri Apr 15 20:28:00 2011,CreateReportDialog.java,amitin
Sat Apr 23 22:22:20 2011,GenericPropertyDescription.java,amitin
Mon Apr 25 19:28:01 2011,Activator.java,amitin
Thu Apr 28 21:20:00 2011,FieldExpressionAccessor.java,amitin
Fri May  6 23:33:15 2011,AbstractStylePropertyEditor.java,amitin
