date_time,file,committer_name
Fri Sep 29  6:37:57 2017,wineryGitLog.component.html,Lukas Balzer
Fri Sep 29  6:37:57 2017,wineryGitLog.component.ts,Lukas Balzer
Fri Sep 29  6:37:57 2017,wineryRepository.component.ts,Lukas Balzer
Fri Sep 29  6:37:57 2017,wineryRepository.html,Lukas Balzer
Fri Sep 29 15:41:01 2017,PropertiesResourceTest.java,Lukas Balzer
Fri Sep 29 15:41:01 2017,properties.component.css,Lukas Balzer
Fri Sep 29 15:41:01 2017,properties.component.html,Lukas Balzer
Fri Sep 29 15:41:01 2017,properties.component.ts,Lukas Balzer
Fri Sep 29 17:42:00 2017,CHANGELOG.md,Lukas Balzer
Fri Sep 29 17:42:00 2017,pom.xml,Lukas Balzer
Fri Sep 29 17:42:00 2017,GitWebSocket.java,Lukas Balzer
Fri Sep 29 17:42:00 2017,ArtifactTemplateResourceTest.java,Lukas Balzer
Fri Sep 29 17:42:00 2017,largeSource.json,Lukas Balzer
Fri Sep 29 17:42:00 2017,wineryGitLog.component.css,Lukas Balzer
Fri Sep 29 17:42:00 2017,wineryGitLog.component.html,Lukas Balzer
Fri Sep 29 17:42:00 2017,wineryGitLog.component.ts,Lukas Balzer
Fri Sep 29 17:42:00 2017,pom.xml,Lukas Balzer
Mon Oct  9  7:00:10 2017,CHANGELOG.md,Lukas Balzer
Mon Oct  9  7:00:10 2017,ArtifactResourceApiData.java,Lukas Balzer
Mon Oct  9  7:00:10 2017,FilesResource.java,Lukas Balzer
Mon Oct  9  7:00:10 2017,ArtifactResourceApiData.ts,Lukas Balzer
Mon Oct  9  7:00:10 2017,artifactSource.component.css,Lukas Balzer
Mon Oct  9  7:00:10 2017,artifactSource.component.html,Lukas Balzer
Mon Oct  9  7:00:10 2017,artifactSource.component.ts,Lukas Balzer
Mon Oct  9  7:00:10 2017,artifactSource.service.ts,Lukas Balzer
Mon Oct  9  7:00:10 2017,wineryDuplicateValidator.directive.ts,Lukas Balzer
Mon Oct  9  7:00:10 2017,BackendUtils.java,Lukas Balzer
Wed Oct 11  9:15:55 2017,artifactSource.component.html,Lukas Balzer
Wed Oct 11  9:15:55 2017,files.component.ts,Lukas Balzer
Wed Oct 11  9:15:55 2017,files.service..ts,Lukas Balzer
Thu Oct 12  9:56:38 2017,ArtifactResourcesApiData.java,Lukas Balzer
Thu Oct 12  9:56:38 2017,ArtifactTemplateResource.java,Lukas Balzer
Thu Oct 12  9:56:38 2017,FilesResource.java,Lukas Balzer
Thu Oct 12  9:56:38 2017,ArtifactTemplateResourceTest.java,Lukas Balzer
Thu Oct 12  9:56:38 2017,copySourcesToFiles_with_selection.json,Lukas Balzer
Thu Oct 12  9:56:38 2017,copySourcesToFiles_with_selection_response.json,Lukas Balzer
Thu Oct 12  9:56:38 2017,copySourcesToFiles_without_selection.json,Lukas Balzer
Thu Oct 12  9:56:38 2017,copySourcesToFiles_without_selection_response.json,Lukas Balzer
Thu Oct 12  9:56:38 2017,largeSource.json,Lukas Balzer
Thu Oct 12  9:56:38 2017,artifactSource.component.ts,Lukas Balzer
Thu Oct 12  9:56:38 2017,artifactSource.service.ts,Lukas Balzer
