date_time,file,committer_name
Wed Jan 10 13:29:19 2018,AbstractOutputComparingCompilerTests.java,Arne Deutsch
Wed Jan 10 13:29:19 2018,CompilerTests2.xtend,Arne Deutsch
Wed Jan 10 13:29:19 2018,CompilerTraceTest.java,Arne Deutsch
Wed Jan 10 13:29:19 2018,CompilerTests2.java,Arne Deutsch
Wed Jan 10 13:29:19 2018,XbaseCompiler.java,Arne Deutsch
Wed Jan 10 13:29:58 2018,CompilerBug342021Test.xtend,Arne Deutsch
Wed Jan 10 13:29:58 2018,Java8CompilerTest2.xtend,Arne Deutsch
Wed Jan 10 13:29:58 2018,CompilerBug342021Test.java,Arne Deutsch
Wed Jan 10 13:29:58 2018,Java8CompilerTest2.java,Arne Deutsch
Wed Jan 10 13:29:58 2018,AnonymousClassCompilerTest.xtend,Arne Deutsch
Wed Jan 10 13:29:58 2018,CompilerBug342021Test.xtend,Arne Deutsch
Wed Jan 10 13:29:58 2018,CompilerBugTest.xtend,Arne Deutsch
Wed Jan 10 13:29:58 2018,ExtensionsCompilerTest.xtend,Arne Deutsch
Wed Jan 10 13:29:58 2018,XtendCompilerTest.xtend,Arne Deutsch
Wed Jan 10 13:29:58 2018,AnonymousClassCompilerTest.java,Arne Deutsch
Wed Jan 10 13:29:58 2018,CompilerBug342021Test.java,Arne Deutsch
Wed Jan 10 13:29:58 2018,CompilerBugTest.java,Arne Deutsch
Wed Jan 10 13:29:58 2018,ExtensionsCompilerTest.java,Arne Deutsch
Wed Jan 10 13:29:58 2018,XtendCompilerTest.java,Arne Deutsch
Wed Jan 10 15:05:47 2018,XtextGrammarQuickfixProviderTest.java,Arne Deutsch
Wed Jan 10 15:05:47 2018,XtextGrammarQuickfixProvider.java,Arne Deutsch
Thu Jan 11  8:38:37 2018,SharedCommonTypesModule.java,Arne Deutsch
Thu Jan 11  8:38:37 2018,DefaultUiModule.java,Arne Deutsch
Thu Jan 11  8:38:37 2018,AbstractCopyQualifiedNameHandler.java,Arne Deutsch
Thu Jan 11  8:38:37 2018,CopyQualifiedNameService.xtend,Arne Deutsch
Thu Jan 11  8:38:37 2018,DefaultCopyQualifiedNameService.xtend,Arne Deutsch
Thu Jan 11  8:38:37 2018,CopyQualifiedNameService.java,Arne Deutsch
Thu Jan 11  8:38:37 2018,DefaultCopyQualifiedNameService.java,Arne Deutsch
Thu Jan 11  8:38:37 2018,XbaseUiModule.xtend,Arne Deutsch
Thu Jan 11  8:38:37 2018,XbaseCopyQualifiedNameService.xtend,Arne Deutsch
Thu Jan 11  8:38:37 2018,XbaseUiModule.java,Arne Deutsch
Thu Jan 11  8:38:37 2018,XbaseCopyQualifiedNameService.java,Arne Deutsch
Thu Jan 11  8:56:20 2018,XtendUiModule.xtend,Arne Deutsch
Thu Jan 11  8:56:20 2018,XtendUiModule.java,Arne Deutsch
Thu Jan 11  8:56:49 2018,DefaultCopyQualifiedNameService.xtend,Arne Deutsch
Thu Jan 11  8:56:49 2018,ICopyQualifiedNameService.java,Arne Deutsch
Thu Jan 11  8:56:49 2018,DefaultCopyQualifiedNameService.java,Arne Deutsch
Thu Jan 11 15:49:46 2018,DirtyStateEditorValidationTest.xtend,Arne Deutsch
Thu Jan 11 15:49:46 2018,DirtyStateEditorValidationTest.java,Arne Deutsch
Thu Jan 11 15:57:15 2018,XtendCopyQualifiedNameServiceTest.xtend,Arne Deutsch
Thu Jan 11 15:57:15 2018,XtendCopyQualifiedNameServiceTest.java,Arne Deutsch
Fri Jan 19 10:42:19 2018,SharedCommonTypesModule.java,Arne Deutsch
Fri Jan 19 10:42:19 2018,DefaultUiModule.java,Arne Deutsch
Fri Jan 19 10:42:19 2018,XbaseUiModule.xtend,Arne Deutsch
Fri Jan 19 10:42:19 2018,XbaseCopyQualifiedNameService.xtend,Arne Deutsch
Fri Jan 19 10:42:19 2018,XbaseUiModule.java,Arne Deutsch
Fri Jan 19 10:42:19 2018,XbaseCopyQualifiedNameService.java,Arne Deutsch
Fri Jan 19 10:42:47 2018,XtendCopyQualifiedNameServiceTest.xtend,Arne Deutsch
Fri Jan 19 10:42:47 2018,XtendCopyQualifiedNameServiceTest.java,Arne Deutsch
Fri Jan 19 10:42:47 2018,XtendUiModule.xtend,Arne Deutsch
Fri Jan 19 10:42:47 2018,XtendUiModule.java,Arne Deutsch
