date_time,file,committer_name
Tue Mar 20 14:04:37 2018,MANIFEST.MF,Karsten Thoms
Tue Mar 20 14:04:37 2018,XtextCodeMiningProvider.java,Karsten Thoms
Tue Mar 20 14:04:37 2018,DomainmodelCodeMiningProvider.java,Karsten Thoms
Tue Mar 20 14:04:37 2018,MANIFEST.MF,Karsten Thoms
Tue Mar 20 14:04:37 2018,AbstractDomainmodelUiModule.java,Karsten Thoms
Tue Mar 20 14:32:02 2018,MANIFEST.MF,Karsten Thoms
Tue Mar 20 14:32:02 2018,AbstractDomainmodelUiModule.java,Karsten Thoms
Tue Mar 20 14:32:02 2018,DomainmodelCodeMiningProvider.java,Karsten Thoms
Tue Mar 20 14:33:50 2018,XtextCodeMiningProvider.java,Karsten Thoms
Tue Mar 20 14:33:50 2018,XtextCodeMiningReconcileStrategy.java,Karsten Thoms
Tue Mar 20 15:29:31 2018,CodeMiningFragment.xtend,Karsten Thoms
Tue Mar 20 15:29:31 2018,CodeMiningFragment.java,Karsten Thoms
Tue Mar 20 15:33:20 2018,XtextCodeMiningReconcileStrategy.java,Karsten Thoms
Tue Mar 20 15:33:20 2018,DefaultUiModule.java,Karsten Thoms
Tue Mar 20 15:33:20 2018,IReconcileStrategyFactory.java,Karsten Thoms
Tue Mar 20 15:33:20 2018,XtextDocumentReconcileStrategy.java,Karsten Thoms
Tue Mar 20 15:33:20 2018,XtextSpellingReconcileStrategy.java,Karsten Thoms
Tue Mar 20 15:33:20 2018,AbstractDomainmodelUiModule.java,Karsten Thoms
Tue Mar 20 15:33:20 2018,DomainmodelCodeMiningProvider.java,Karsten Thoms
Wed Mar 21 12:43:41 2018,XtextDocumentReconcileStrategy.java,Karsten Thoms
Wed Mar 21 12:46:04 2018,XtextCodeMiningReconcileStrategy.java,Karsten Thoms
Wed Mar 21 13:00:12 2018,XtextCodeMiningProvider.java,Karsten Thoms
Wed Mar 21 13:00:12 2018,XtextCodeMiningReconcileStrategy.java,Karsten Thoms
Wed Mar 21 13:00:12 2018,XtextDocumentReconcileStrategy.java,Karsten Thoms
Wed Mar 21 13:17:12 2018,XtextCodeMiningProvider.java,Karsten Thoms
Wed Mar 21 13:28:13 2018,AbstractXtextCodeMiningProvider.java,Karsten Thoms
Wed Mar 21 13:28:13 2018,DomainmodelCodeMiningProvider.java,Karsten Thoms
Wed Mar 21 23:10:08 2018,AbstractXtextCodeMiningProvider.java,Karsten Thoms
Wed Mar 21 23:10:08 2018,AbstractDomainmodelUiModule.java,Karsten Thoms
Wed Mar 21 23:10:08 2018,DomainmodelCodeMiningProvider.java,Karsten Thoms
Thu Mar 22  6:37:00 2018,DomainmodelCodeMiningProvider.java,Karsten Thoms
Thu Mar 22 15:20:45 2018,AbstractXtextCodeMiningProvider.java,Karsten Thoms
Thu Mar 22 15:20:45 2018,XtextCodeMiningReconcileStrategy.java,Karsten Thoms
Thu Mar 22 15:20:45 2018,.project,Karsten Thoms
Thu Mar 22 15:20:45 2018,plugin.xml,Karsten Thoms
Thu Mar 22 15:20:45 2018,DomainmodelCodeMiningProvider.java,Karsten Thoms
Thu Mar 22 16:54:30 2018,CodeMiningFragment.xtend,Karsten Thoms
Thu Mar 22 16:54:30 2018,CodeMiningFragment.java,Karsten Thoms
Fri Mar 23 11:08:52 2018,CodeMiningFragment.xtend,Karsten Thoms
Fri Mar 23 11:08:52 2018,CodeMiningFragment.java,Karsten Thoms
