date_time,file,committer_name
Tue Feb 10 10:43:55 2015,GeneratorConfig.xtend,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,GeneratorConfigProvider.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,GeneratorConfigProvider.xtend,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,JavaVersion.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,JvmModelGenerator.xtend,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,LiteralsCompiler.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,XbaseCompiler.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,AbstractOutputComparingCompilerTests.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,JavaVersionModule.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,OnTheFlyJavaCompiler.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,XbaseBuilderPreferenceAccess.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,AbstractXtendCompilerMojo.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,XtendCompile.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,XtendTestCompile.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,XtendCompilerMojoIT.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,pom.xml,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,XtendA.xtend,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,XtendB.xtend,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,.api_filters,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,Main.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,XtendBatchCompiler.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,XtendJvmModelInferrer.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,XtendJavaValidator.java,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,XtendA.xtend,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,XtendA.xtend,Moritz Eysholdt
Tue Feb 10 10:43:55 2015,TestBatchCompiler.xtend,Moritz Eysholdt
Tue Feb 10 15:04:41 2015,XtextBuilder.java,Moritz Eysholdt
Tue Mar  3 19:20:33 2015,XtendIdeaModule.java,Moritz Eysholdt
Tue Mar  3 19:20:33 2015,DefaultXbaseUiModule.java,Moritz Eysholdt
Tue Mar  3 19:20:33 2015,EclipseWorkspaceConfig.xtend,Moritz Eysholdt
Tue Mar  3 19:20:33 2015,DefaultXbaseRuntimeModule.java,Moritz Eysholdt
Tue Mar  3 19:20:33 2015,FileLocationsImpl.xtend,Moritz Eysholdt
Tue Mar  3 19:20:33 2015,JavaIOFileSystemSupport.xtend,Moritz Eysholdt
Tue Mar  3 19:20:33 2015,RuntimeWorkspaceConfigProvider.xtend,Moritz Eysholdt
Tue Mar  3 19:20:33 2015,SimpleWorkspaceConfig.xtend,Moritz Eysholdt
Tue Mar  3 19:20:33 2015,WorkspaceConfig.xtend,Moritz Eysholdt
Thu Mar  5 15:55:00 2015,XtextBuilder.java,Moritz Eysholdt
Thu Mar  5 15:55:46 2015,FormatterRequest.java,Moritz Eysholdt
Thu Mar  5 15:55:46 2015,FormattingNotApplicableException.java,Moritz Eysholdt
Thu Mar  5 15:55:46 2015,IAutowrapFormatter.java,Moritz Eysholdt
Thu Mar  5 15:55:46 2015,IFormattableDocument.java,Moritz Eysholdt
Thu Mar  5 15:55:46 2015,IHiddenRegionFormatter.java,Moritz Eysholdt
Thu Mar  5 15:55:46 2015,ITextReplacement.java,Moritz Eysholdt
Thu Mar  5 15:55:46 2015,ITextReplacer.java,Moritz Eysholdt
